pair,pinbar_thresh,bb_sigma,sl_atr,tp_atr,train_pf,train_wr,train_trades,train_dd,test_pf,test_wr,test_trades,test_dd,all_pf,all_wr,all_trades,all_dd
GBPUSD,0.5000,1.5000,1.0000,2.5000,0.6803,0.1976,334,0.0331,0.7464,0.2098,224,0.0261,0.7057,0.2025,558,0.0520
GBPUSD,0.5000,1.5000,1.5000,3.0000,0.7153,0.2605,334,0.0474,0.8329,0.2723,224,0.0275,0.7595,0.2652,558,0.0646
GBPUSD,0.5000,1.8000,1.5000,2.0000,0.6380,0.2978,178,0.0291,0.5690,0.2773,119,0.0226,0.6118,0.2896,297,0.0467
GBPUSD,0.5000,1.8000,1.0000,2.5000,0.7137,0.1910,178,0.0181,0.6482,0.2017,119,0.0162,0.6889,0.1953,297,0.0296
GBPUSD,0.5000,1.8000,1.5000,3.0000,0.6870,0.2416,178,0.0306,0.6587,0.2353,119,0.0209,0.6765,0.2391,297,0.0436
GBPUSD,0.5000,2.0000,1.5000,2.0000,0.6833,0.3178,107,0.0208,0.7348,0.3194,72,0.0071,0.7008,0.3184,179,0.0223
GBPUSD,0.5000,2.0000,1.0000,2.5000,0.7999,0.2056,107,0.0133,0.6978,0.2222,72,0.0058,0.7637,0.2123,179,0.0135
GBPUSD,0.5000,2.0000,1.5000,3.0000,0.8480,0.2804,107,0.0173,0.8751,0.2917,72,0.0066,0.8571,0.2849,179,0.0173
GBPUSD,0.6000,1.5000,1.5000,2.0000,0.6234,0.3008,236,0.0353,0.7374,0.3354,158,0.0217,0.6658,0.3147,394,0.0522
GBPUSD,0.6000,1.5000,1.0000,2.5000,0.6883,0.1992,236,0.0222,0.7919,0.2215,158,0.0181,0.7281,0.2081,394,0.0353
GBPUSD,0.6000,1.5000,1.5000,3.0000,0.6736,0.2458,236,0.0393,0.9005,0.2911,158,0.0186,0.7568,0.2640,394,0.0500
GBPUSD,0.6000,1.8000,1.5000,2.0000,0.4843,0.2540,126,0.0289,0.5804,0.2706,85,0.0173,0.5187,0.2607,211,0.0424
GBPUSD,0.6000,1.8000,1.0000,2.5000,0.6215,0.1746,126,0.0153,0.7140,0.2118,85,0.0114,0.6555,0.1896,211,0.0238
GBPUSD,0.6000,1.8000,1.5000,3.0000,0.4825,0.1905,126,0.0329,0.7309,0.2471,85,0.0161,0.5688,0.2133,211,0.0433
GBPUSD,0.6000,2.0000,1.5000,2.0000,0.4708,0.2564,78,0.0223,0.6433,0.2885,52,0.0076,0.5277,0.2692,130,0.0272
GBPUSD,0.6000,2.0000,1.0000,2.5000,0.5747,0.1667,78,0.0134,0.7007,0.2115,52,0.0063,0.6181,0.1846,130,0.0163
GBPUSD,0.6000,2.0000,1.5000,3.0000,0.5706,0.2179,78,0.0211,0.7843,0.2692,52,0.0063,0.6403,0.2385,130,0.0231
GBPUSD,0.7000,1.5000,1.5000,2.0000,0.6689,0.3247,154,0.0207,0.6068,0.3077,104,0.0191,0.6451,0.3178,258,0.0380
GBPUSD,0.7000,1.5000,1.0000,2.5000,0.7692,0.2143,154,0.0121,0.6790,0.2019,104,0.0140,0.7341,0.2093,258,0.0246
GBPUSD,0.7000,1.5000,1.5000,3.0000,0.6761,0.2532,154,0.0262,0.6767,0.2404,104,0.0206,0.6763,0.2481,258,0.0435
GBPUSD,0.7000,1.8000,1.5000,2.0000,0.6284,0.3095,84,0.0157,0.4557,0.2456,57,0.0135,0.5647,0.2837,141,0.0281
GBPUSD,0.7000,1.8000,1.0000,2.5000,0.7521,0.2024,84,0.0089,0.5812,0.1930,57,0.0076,0.6904,0.1986,141,0.0170
