pair,dc_period,tp_atr_mult,sl_atr_mult,adx_threshold,use_200ma,use_chop,total_trades,win_rate,profit_factor,max_drawdown_pct,avg_hold_hours
GBPJPY,40,4.0,1.0,25,True,False,184,22.83,1.059,91.37,10.2
GBPUSD,20,4.0,1.5,25,False,False,254,31.1,1.058,36.7,13.3
EURJPY,20,2.0,2.0,25,True,False,199,50.75,1.058,49.66,11.0
EURJPY,60,2.0,2.0,25,True,False,171,51.46,1.057,58.5,11.0
GBPUSD,20,4.0,1.5,20,True,True,274,30.66,1.056,43.14,13.6
EURUSD,60,4.0,1.0,30,False,True,130,22.31,1.056,25.66,9.1
GBPUSD,60,4.0,2.0,25,False,False,181,36.46,1.055,32.69,17.0
EURUSD,60,3.0,1.0,30,True,True,133,27.82,1.055,30.03,6.9
EURJPY,60,3.0,1.0,25,False,False,184,26.63,1.055,64.59,8.3
GBPJPY,60,2.0,1.0,25,False,False,222,35.59,1.055,59.21,5.5
EURJPY,20,2.0,1.0,30,False,True,154,33.77,1.055,34.91,6.4
EURJPY,20,4.0,1.5,20,True,False,255,29.41,1.055,58.59,14.6
GBPJPY,60,4.0,1.0,25,False,False,182,23.63,1.055,82.77,10.5
USDJPY,40,2.0,1.0,25,False,True,240,34.58,1.054,29.33,6.2
USDJPY,20,4.0,1.0,25,False,True,250,20.8,1.054,45.5,12.0
EURJPY,60,4.0,1.0,30,False,False,127,19.69,1.054,54.93,9.9
GBPJPY,20,4.0,1.5,30,True,False,130,28.46,1.054,85.87,14.8
GBPUSD,20,4.0,1.0,25,True,False,240,23.33,1.054,26.95,9.8
GBPJPY,60,4.0,1.5,30,True,False,113,29.2,1.053,71.85,14.7
USDJPY,40,3.0,1.0,25,False,False,239,25.1,1.053,42.78,8.3
EURJPY,60,4.0,2.0,25,True,False,137,35.04,1.053,59.7,20.9
EURJPY,20,4.0,1.5,25,False,True,176,30.11,1.052,54.46,16.1
EURJPY,60,3.0,1.5,20,True,False,216,35.65,1.051,51.38,11.8
EURJPY,60,2.0,1.0,20,True,False,267,34.46,1.05,50.89,5.8
GBPUSD,20,4.0,1.5,25,False,True,235,31.49,1.049,33.19,13.4
EURJPY,60,2.0,1.5,30,True,False,134,44.78,1.049,36.0,8.0
EURJPY,40,4.0,2.0,20,True,False,209,36.36,1.049,59.67,19.4
EURUSD,60,3.0,1.5,25,True,False,180,35.0,1.049,28.63,9.6
EURUSD,20,4.0,2.0,20,True,True,245,36.73,1.049,30.59,17.3
EURJPY,40,3.0,1.0,30,False,True,124,26.61,1.048,50.25,8.8
EURJPY,60,2.0,2.0,30,True,False,125,51.2,1.048,54.49,10.4
USDJPY,40,2.0,1.0,25,False,False,265,33.96,1.048,34.79,5.8
EURJPY,20,2.0,1.0,30,True,True,136,33.09,1.047,39.77,6.6
USDJPY,60,2.0,1.0,25,False,False,235,33.62,1.047,32.88,6.0
EURJPY,40,4.0,1.5,25,True,False,158,29.11,1.047,63.95,15.9
GBPUSD,60,4.0,2.0,30,True,False,137,36.5,1.046,33.17,15.8
GBPJPY,40,2.0,1.0,25,False,False,244,35.25,1.046,61.36,5.8
GBPUSD,20,4.0,2.0,25,True,False,197,37.56,1.046,41.49,17.3
EURUSD,60,3.0,1.0,30,True,False,143,27.27,1.046,31.59,7.2
GBPUSD,20,4.0,1.0,30,False,False,209,23.92,1.045,28.07,9.7
GBPUSD,20,4.0,2.0,25,True,True,184,37.5,1.044,40.67,17.9
EURJPY,40,4.0,2.0,25,False,False,160,35.0,1.044,56.43,20.6
EURJPY,60,3.0,1.0,20,False,True,225,26.22,1.044,60.86,8.1
EURJPY,40,2.0,2.0,25,True,False,188,50.53,1.044,49.93,11.2
USDJPY,40,2.0,2.0,25,False,True,217,50.23,1.044,50.21,11.1
GBPJPY,60,2.0,1.0,30,True,True,133,33.83,1.043,61.49,5.6
EURJPY,60,3.0,1.0,20,True,False,244,26.23,1.043,58.74,7.8
EURJPY,20,2.0,1.0,25,False,False,280,33.21,1.042,42.16,6.0
GBPJPY,20,4.0,1.5,25,True,False,183,29.51,1.042,83.2,14.7
EURJPY,40,4.0,1.0,30,False,False,135,20.0,1.041,52.75,10.1
GBPUSD,20,3.0,1.0,25,False,True,295,27.8,1.041,32.39,7.4
EURJPY,60,2.0,1.0,30,True,True,127,33.07,1.041,40.72,6.3
USDJPY,20,2.0,1.0,25,False,False,343,34.4,1.04,44.86,6.1
USDJPY,20,3.0,1.0,25,False,True,278,25.9,1.04,57.58,9.3
GBPJPY,20,4.0,1.0,25,True,False,202,22.28,1.04,92.01,10.3
EURJPY,40,3.0,2.0,30,False,False,121,41.32,1.04,40.83,16.1
EURJPY,40,4.0,1.0,30,False,True,116,19.83,1.039,55.58,10.8
GBPJPY,20,3.0,1.0,30,True,True,134,26.12,1.038,75.28,8.5
USDJPY,20,3.0,1.0,25,False,False,308,25.65,1.038,62.3,8.8
EURJPY,40,3.0,2.0,30,True,True,106,41.51,1.038,45.69,16.7
EURJPY,60,3.0,1.0,25,True,False,178,26.4,1.038,70.53,8.2
EURJPY,20,3.0,2.0,30,False,False,142,41.55,1.037,38.02,16.3
EURJPY,20,4.0,1.0,25,False,False,233,20.6,1.037,38.99,10.4
USDJPY,40,3.0,1.0,20,True,True,256,25.39,1.037,38.88,7.6
GBPJPY,40,2.0,2.0,30,False,False,148,51.35,1.037,58.67,12.0
EURJPY,40,2.0,1.5,20,False,True,271,43.17,1.036,52.48,8.1
EURJPY,40,3.0,2.0,25,True,False,165,41.82,1.036,65.03,16.4
GBPJPY,60,3.0,1.0,25,True,False,187,27.81,1.035,81.16,7.9
GBPUSD,40,4.0,1.0,25,True,True,206,23.3,1.035,31.98,9.9
EURJPY,40,3.0,1.5,25,True,False,173,35.84,1.035,65.3,12.3
USDJPY,40,3.0,1.5,25,True,True,186,32.8,1.035,48.81,11.9
EURJPY,60,2.0,1.0,20,True,True,238,32.77,1.035,56.56,5.8
EURJPY,20,3.0,2.0,30,True,False,122,40.98,1.035,41.52,16.2
EURJPY,40,4.0,2.0,20,False,True,210,36.67,1.034,57.5,19.6
EURJPY,60,4.0,2.0,30,False,False,108,34.26,1.034,49.69,19.0
EURJPY,40,2.0,1.5,20,True,True,246,43.09,1.033,57.59,8.2
GBPUSD,60,4.0,1.5,25,False,True,182,30.22,1.033,38.35,12.9
GBPJPY,40,3.0,1.0,25,True,False,197,27.41,1.033,83.24,8.1
EURJPY,60,2.0,1.0,20,False,True,247,32.79,1.033,53.36,5.8
USDJPY,60,2.0,1.0,25,True,True,202,34.16,1.033,38.35,6.3
GBPUSD,60,4.0,2.0,25,False,True,170,36.47,1.033,40.33,17.5
EURJPY,60,4.0,1.5,30,False,True,100,29.0,1.033,57.85,15.9
GBPUSD,40,3.0,1.0,25,False,False,267,27.34,1.031,40.55,7.5
GBPUSD,40,4.0,1.0,25,True,False,221,23.08,1.031,32.91,9.7
EURJPY,20,4.0,2.0,30,True,True,105,34.29,1.03,52.49,21.1
GBPUSD,40,4.0,1.5,25,True,False,197,30.46,1.03,39.65,13.2
GBPUSD,40,4.0,1.5,25,True,True,185,30.81,1.03,37.25,13.1
EURUSD,40,2.0,1.0,30,False,True,159,34.59,1.03,22.35,4.9
GBPUSD,40,3.0,1.0,20,True,True,296,27.36,1.029,34.02,7.5
EURJPY,40,2.0,1.0,30,True,True,131,32.82,1.029,44.94,6.6
EURJPY,20,3.0,1.0,25,False,True,209,25.84,1.029,49.53,8.6
USDJPY,60,3.0,1.5,25,False,True,183,32.24,1.029,48.72,12.1
EURUSD,60,4.0,2.0,20,True,False,207,34.78,1.029,52.45,16.6
EURUSD,20,4.0,1.0,30,True,False,152,22.37,1.028,33.14,8.7
