pair,direction,entry_time,exit_time,entry,exit,sl,tp,D,pnl_price,pnl_net,result,bars_held
EURJPY,SHORT,2026-01-05 00:00:00,2026-01-05 08:00:00,183.705,183.40093,184.00907,183.40093,0.39799,0.30407,0.28407,TP,8
EURJPY,SHORT,2026-01-29 15:00:00,2026-01-30 03:00:00,182.54601,183.45822,183.45822,181.63379,1.194,-0.91222,-0.93222,SL,12
EURJPY,LONG,2026-02-06 15:00:00,2026-02-10 12:00:00,185.506,184.62052,184.62052,186.39147,1.159,-0.88547,-0.90547,SL,44
EURJPY,LONG,2026-02-24 07:00:00,2026-02-24 08:00:00,183.097,183.94427,182.24973,183.94427,1.10899,0.84727,0.82727,TP,1
EURJPY,SHORT,2026-03-16 20:00:00,2026-03-16 21:00:00,183.01401,182.89101,183.13701,182.89101,0.161,0.123,0.103,TP,1
EURJPY,LONG,2026-04-06 06:00:00,2026-04-06 07:00:00,183.993,184.22525,183.76074,184.22525,0.304,0.23226,0.21226,TP,1
EURJPY,LONG,2026-05-29 14:00:00,2026-06-02 06:00:00,185.64799,186.00631,185.28968,186.00631,0.46899,0.35831,0.33831,TP,39
EURUSD,LONG,2024-05-29 06:00:00,2024-05-29 08:00:00,1.08578,1.08497,1.08497,1.08659,0.00106,-0.00081,-0.00101,SL,2
EURUSD,SHORT,2024-06-14 06:00:00,2024-07-05 03:00:00,1.07227,1.08232,1.08232,1.06222,0.01315,-0.01005,-0.01025,SL,354
EURUSD,SHORT,2024-07-29 09:00:00,2024-08-01 08:00:00,1.08295,1.07963,1.08628,1.07963,0.00436,0.00333,0.00313,TP,71
EURUSD,LONG,2024-08-14 07:00:00,2024-08-20 13:00:00,1.10096,1.11039,1.09153,1.11039,0.01234,0.00943,0.00923,TP,101
EURUSD,LONG,2024-09-18 18:00:00,2024-09-18 19:00:00,1.11495,1.11239,1.11239,1.11751,0.00335,-0.00256,-0.00276,SL,1
EURUSD,LONG,2024-11-04 03:00:00,2024-11-06 00:00:00,1.09075,1.08515,1.08515,1.09635,0.00733,-0.0056,-0.0058,SL,45
EURUSD,SHORT,2024-12-18 19:00:00,2024-12-18 20:00:00,1.0457,1.03981,1.05159,1.03981,0.00771,0.00589,0.00569,TP,1
EURUSD,LONG,2024-12-31 08:00:00,2024-12-31 12:00:00,1.04178,1.04045,1.04045,1.0431,0.00173,-0.00132,-0.00152,SL,4
EURUSD,SHORT,2025-01-10 13:00:00,2025-01-20 13:00:00,1.02375,1.03902,1.03902,1.00849,0.01998,-0.01527,-0.01547,SL,142
EURUSD,SHORT,2025-01-31 21:00:00,2025-02-03 00:00:00,1.03638,1.03092,1.04183,1.03092,0.00714,0.00545,0.00525,TP,2
EURUSD,LONG,2025-02-24 01:00:00,2025-02-27 13:00:00,1.05164,1.04303,1.04303,1.06024,0.01127,-0.00861,-0.00881,SL,84
EURUSD,LONG,2025-04-02 12:00:00,2025-04-02 13:00:00,1.0812,1.0828,1.07959,1.0828,0.0021,0.0016,0.0014,TP,1
EURUSD,SHORT,2025-04-30 20:00:00,2025-05-08 15:00:00,1.1325,1.12459,1.14041,1.12459,0.01035,0.00791,0.00771,TP,138
EURUSD,LONG,2025-05-23 11:00:00,2025-05-28 23:00:00,1.13636,1.12854,1.12854,1.14419,0.01024,-0.00782,-0.00802,SL,83
EURUSD,SHORT,2025-06-22 23:00:00,2025-06-23 01:00:00,1.14995,1.14793,1.15198,1.14793,0.00265,0.00203,0.00183,TP,2
EURUSD,SHORT,2025-07-10 14:00:00,2025-07-15 14:00:00,1.16863,1.1636,1.17367,1.1636,0.00659,0.00504,0.00484,TP,71
EURUSD,LONG,2025-08-13 07:00:00,2025-08-21 14:00:00,1.17014,1.16195,1.16195,1.17833,0.01072,-0.00819,-0.00839,SL,150
EURUSD,LONG,2025-09-16 03:00:00,2025-09-16 16:00:00,1.17827,1.18689,1.16966,1.18689,0.01128,0.00861,0.00841,TP,13
EURUSD,SHORT,2025-10-14 07:00:00,2025-10-14 16:00:00,1.15487,1.16133,1.16133,1.1484,0.00846,-0.00647,-0.00667,SL,9
EURUSD,LONG,2025-10-29 15:00:00,2025-10-29 18:00:00,1.16591,1.16322,1.16322,1.1686,0.00352,-0.00269,-0.00289,SL,3
EURUSD,LONG,2025-11-28 15:00:00,2025-12-01 12:00:00,1.1605,1.16398,1.15701,1.16398,0.00456,0.00348,0.00328,TP,20
EURUSD,SHORT,2026-01-02 08:00:00,2026-01-05 01:00:00,1.17343,1.1708,1.17607,1.1708,0.00345,0.00264,0.00244,TP,16
EURUSD,LONG,2026-01-22 16:00:00,2026-01-23 17:00:00,1.17454,1.17988,1.16919,1.17988,0.00699,0.00534,0.00514,TP,25
EURUSD,SHORT,2026-02-18 17:00:00,2026-02-19 13:00:00,1.18092,1.17696,1.18488,1.17696,0.00518,0.00396,0.00376,TP,20
EURUSD,LONG,2026-03-23 11:00:00,2026-03-23 14:00:00,1.15754,1.16415,1.15094,1.16415,0.00864,0.0066,0.0064,TP,3
EURUSD,LONG,2026-04-06 14:00:00,2026-04-06 15:00:00,1.15714,1.1551,1.1551,1.15918,0.00267,-0.00204,-0.00224,SL,1
EURUSD,SHORT,2026-05-19 23:00:00,2026-05-20 00:00:00,1.16741,1.16333,1.17149,1.16333,0.00534,0.00408,0.00388,TP,1
EURUSD,SHORT,2026-06-05 12:00:00,2026-06-05 14:00:00,1.15982,1.156,1.16364,1.156,0.005,0.00382,0.00362,TP,2
GBPJPY,SHORT,2024-06-04 07:00:00,2024-06-04 08:00:00,199.39,198.60766,200.17234,198.60766,1.024,0.78234,0.76234,TP,1
GBPJPY,SHORT,2024-07-17 07:00:00,2024-07-17 08:00:00,204.618,203.72488,205.51112,203.72488,1.16901,0.89312,0.87312,TP,1
GBPJPY,LONG,2024-08-23 13:00:00,2024-09-04 17:00:00,192.01401,189.12074,189.12074,194.90728,3.787,-2.89327,-2.91327,SL,193
GBPJPY,SHORT,2024-09-10 14:00:00,2024-09-11 01:00:00,186.50101,185.2832,187.71882,185.2832,1.59399,1.21781,1.19781,TP,11
GBPJPY,LONG,2024-10-14 14:00:00,2024-10-23 05:00:00,195.621,197.71512,193.52688,197.71512,2.741,2.09412,2.07412,TP,158
GBPJPY,LONG,2024-12-09 07:00:00,2024-12-09 08:00:00,191.22,191.70056,190.73945,191.70056,0.629,0.48055,0.46055,TP,1
GBPJPY,SHORT,2025-02-03 00:00:00,2025-02-03 11:00:00,191.58701,190.48609,192.68793,190.48609,1.44099,1.10092,1.08092,TP,11
GBPJPY,SHORT,2025-02-21 15:00:00,2025-02-28 02:00:00,189.174,187.82706,190.52093,187.82706,1.763,1.34693,1.32693,TP,106
GBPJPY,LONG,2025-04-22 22:00:00,2025-04-25 13:00:00,189.683,191.40276,187.96324,191.40276,2.25099,1.71976,1.69976,TP,63
GBPJPY,SHORT,2025-05-07 17:00:00,2025-05-07 18:00:00,191.11,190.68751,191.53249,190.68751,0.55299,0.42249,0.40249,TP,1
GBPJPY,SHORT,2025-05-20 05:00:00,2025-05-22 00:00:00,193.259,192.53473,193.98327,192.53473,0.948,0.72427,0.70427,TP,43
GBPJPY,LONG,2025-06-16 18:00:00,2025-06-18 18:00:00,196.44299,194.38784,194.38784,198.49814,2.68999,-2.05515,-2.07515,SL,48
GBPJPY,SHORT,2025-07-29 05:00:00,2025-07-31 14:00:00,197.86301,198.89593,198.89593,196.83009,1.35199,-1.03292,-1.05292,SL,57
GBPJPY,SHORT,2025-08-29 08:00:00,2025-09-01 12:00:00,198.033,199.17976,199.17976,196.88625,1.50099,-1.14676,-1.16676,SL,27
GBPJPY,LONG,2025-09-03 08:00:00,2025-09-03 12:00:00,199.01801,199.4321,198.60391,199.4321,0.54201,0.41409,0.39409,TP,4
GBPJPY,SHORT,2025-10-16 16:00:00,2025-10-20 01:00:00,201.77699,203.04142,203.04142,200.51256,1.65501,-1.26443,-1.28443,SL,32
GBPJPY,SHORT,2025-11-04 09:00:00,2025-11-05 01:00:00,200.97701,199.2328,202.72121,199.2328,2.28299,1.7442,1.7242,TP,16
GBPJPY,LONG,2025-11-17 12:00:00,2025-11-20 02:00:00,204.07201,205.39832,202.7457,205.39832,1.73601,1.32631,1.30631,TP,62
GBPJPY,LONG,2025-12-05 12:00:00,2025-12-08 14:00:00,207.019,207.6577,206.38029,207.6577,0.836,0.6387,0.6187,TP,25
GBPJPY,SHORT,2025-12-17 07:00:00,2025-12-17 08:00:00,207.532,207.18438,207.87962,207.18438,0.455,0.34762,0.32762,TP,1
GBPJPY,SHORT,2026-01-02 11:00:00,2026-01-02 15:00:00,210.797,211.28978,211.28978,210.30421,0.645,-0.49278,-0.51278,SL,4
GBPJPY,SHORT,2026-01-19 21:00:00,2026-01-19 22:00:00,212.104,212.28965,212.28965,211.91835,0.243,-0.18565,-0.20565,SL,1
GBPJPY,SHORT,2026-01-29 15:00:00,2026-01-30 01:00:00,210.05499,211.66628,211.66628,208.44371,2.10901,-1.61128,-1.63128,SL,10
GBPJPY,LONG,2026-02-24 02:00:00,2026-02-24 07:00:00,209.22301,210.0573,208.38871,210.0573,1.09201,0.8343,0.8143,TP,5
GBPJPY,SHORT,2026-03-19 07:00:00,2026-03-19 08:00:00,211.748,211.28884,212.20716,211.28884,0.601,0.45916,0.43916,TP,1
GBPJPY,SHORT,2026-04-23 21:00:00,2026-04-24 17:00:00,214.916,215.53789,215.53789,214.29411,0.814,-0.62189,-0.64189,SL,20
GBPJPY,LONG,2026-05-29 14:00:00,2026-06-02 06:00:00,214.334,215.11862,213.54938,215.11862,1.02699,0.78462,0.76462,TP,39
GBPUSD,SHORT,2024-06-03 07:00:00,2024-06-03 09:00:00,1.27231,1.2698,1.27483,1.2698,0.00329,0.00252,0.00232,TP,2
