pair,confirm,n,z_in,z_tp,max_hold,confirm_window,is_pf,is_n,is_wr,oos_pf,oos_n,oos_wr,oos_net,oos_dd,oos_tp_rate,wfo_min,d_oos_pf,n_retained
AUDCAD,ema,80,2.0,0.0,24,6,0.9072543573263595,678,0.5707964601769911,1.2332757182275111,453,0.6026490066225165,1219.6065092597596,375.23082702212446,0.5121412803532008,0.9855802457633415,0.016049383589609167,0.789198606271777
AUDCAD,candle,80,2.0,0.0,24,6,0.894607886000998,655,0.5343511450381679,1.1439050459813576,433,0.5842956120092379,804.6509096282183,502.4576225480105,0.47344110854503463,0.7937615396279227,-0.07332128865654441,0.7543554006968641
AUDCAD,rsi,80,2.0,0.0,24,6,0.9169414726734167,715,0.5272727272727272,1.1512096685680486,470,0.5765957446808511,929.8407949752371,553.7897686266951,0.43829787234042555,0.8326474943880039,-0.06601666606985335,0.818815331010453
AUDCAD,none,80,2.0,0.0,48,6,1.0165722433877844,779,0.5609756097560976,1.3243357295200078,521,0.6103646833013435,2275.603433304147,552.4823875322879,0.581573896353167,1.0071168090031728,0.0,1.0
AUDCAD,ema,80,2.0,0.0,48,6,0.9803407230993748,612,0.6715686274509803,1.326708747280311,418,0.6961722488038278,1678.6798304044748,528.8368759093687,0.7392344497607656,0.8202900193897199,0.0023730177603031866,0.8023032629558541
AUDCAD,candle,80,2.0,0.0,48,6,0.8885698179378135,591,0.6277495769881557,1.2479083877317128,396,0.6565656565656566,1345.0819999658008,705.702782210419,0.6868686868686869,0.7107893477475494,-0.07642734178829502,0.7600767754318618
AUDCAD,rsi,80,2.0,0.0,48,6,0.8931984767310127,636,0.6084905660377359,1.3083852025424927,434,0.6682027649769585,1846.909385312828,728.555589473038,0.6797235023041475,0.7816223266058183,-0.01595052697751509,0.8330134357005758
AUDCAD,none,80,2.5,0.0,12,6,1.07217625806124,621,0.47665056360708535,1.0698347770279533,392,0.46938775510204084,285.88738886990893,314.2289420235209,0.13010204081632654,0.8935374834009229,0.0,1.0
AUDCAD,ema,80,2.5,0.0,12,6,0.8717898872699701,438,0.4885844748858447,1.1545591900951016,275,0.5345454545454545,437.6190393175665,293.65518883707557,0.2509090909090909,0.7679568975860552,0.08472441306714829,0.701530612244898
AUDCAD,candle,80,2.5,0.0,12,6,0.8654197647072238,419,0.441527446300716,1.0389822265733488,258,0.5310077519379846,116.06510342659789,371.2395818551989,0.1821705426356589,0.7176735700093848,-0.030852550454604444,0.6581632653061225
AUDCAD,rsi,80,2.5,0.0,12,6,0.9464640223872233,498,0.4759036144578313,1.0598373495763638,309,0.4919093851132686,192.91343650783293,247.80208260352447,0.1650485436893204,0.8576465473960735,-0.009997427451589491,0.7882653061224489
AUDCAD,none,80,2.5,0.0,24,6,1.0875416239226878,575,0.4765217391304348,1.2408538778984575,368,0.5,1116.6421546429028,398.62894202352095,0.2826086956521739,0.9203225907839512,0.0,1.0
AUDCAD,ema,80,2.5,0.0,24,6,0.8822330612390872,405,0.5456790123456791,1.369328273060268,266,0.5789473684210527,1165.3893069610867,327.5063857092433,0.4473684210526316,0.8245177939844555,0.12847439516181058,0.7228260869565217
AUDCAD,candle,80,2.5,0.0,24,6,0.8378198074765993,388,0.4896907216494845,1.219010076410907,245,0.5428571428571428,742.3199437641993,444.6009174845444,0.3877551020408163,0.740993010680613,-0.021843801487550385,0.6657608695652174
AUDCAD,rsi,80,2.5,0.0,24,6,0.9580189349697886,457,0.5142231947483589,1.318231079877675,297,0.5488215488215489,1212.5637041513492,384.90391046659886,0.3771043771043771,0.7879899408280807,0.0773772019792176,0.8070652173913043
AUDCAD,none,80,2.5,0.0,48,6,1.0466352970616666,551,0.515426497277677,1.408288276425874,359,0.5403899721448467,1890.4271546428993,462.3173875322798,0.479108635097493,0.9432354674908119,0.0,1.0
AUDCAD,ema,80,2.5,0.0,48,6,1.000401595520756,394,0.6446700507614214,1.5102927059587292,260,0.6692307692307692,1667.4455569610964,422.3490453716497,0.7038461538461539,0.7770102401413673,0.10200442953285527,0.724233983286908
AUDCAD,candle,80,2.5,0.0,48,6,0.8791110515739211,374,0.56951871657754,1.352605358411824,239,0.6150627615062761,1198.559943764194,506.8782261176922,0.6192468619246861,0.7464783688478063,-0.0556829180140499,0.6657381615598886
AUDCAD,rsi,80,2.5,0.0,48,6,0.9318634475942603,433,0.5796766743648961,1.5155825656294424,288,0.6354166666666666,1957.3374541513463,410.8136209347558,0.625,0.8498375055134084,0.10729428920356843,0.8022284122562674
