pair,entry_ts,exit_ts,direction,entry,exit,pnl_pips,pnl_r,exit_reason,bars_held
AUDUSD,2025-05-20 04:00:00,2025-05-20 12:00:00,1,0.6426487565040588,0.6405002570655385,-22.68499438520357,-1.0000000000000129,SL,2
AUDUSD,2025-05-20 16:00:00,2025-05-22 08:00:00,1,0.6421576142311096,0.6421576142311096,-1.2,0.0,SL,10
AUDUSD,2025-05-23 00:00:00,2025-05-23 12:00:00,1,0.6436290740966797,0.6436290740966797,-1.2,0.0,SL,3
AUDUSD,2025-05-29 20:00:00,2025-05-30 00:00:00,1,0.6447702646255493,0.6428236377128959,-20.666269126534594,-1.0000000000000262,SL,1
GBPUSD,2025-05-30 00:00:00,2025-06-04 12:00:00,1,1.347127914428711,1.3566156491005537,93.37734671842718,3.0000000000000018,TP,22
AUDUSD,2025-05-30 12:00:00,2025-06-04 16:00:00,1,0.6436580419540405,0.6504677795518372,66.89737597796683,2.9999999999999867,TP,20
EURUSD,2025-06-03 20:00:00,2025-06-05 12:00:00,1,1.1386927366256714,1.1468348068956626,80.42070269991252,3.000000000000002,TP,10
GBPUSD,2025-06-06 04:00:00,2025-06-06 12:00:00,1,1.3545730113983154,1.3516838278888597,-30.391835094557727,-1.0000000000000262,SL,2
AUDUSD,2025-06-06 20:00:00,2025-06-10 04:00:00,1,0.6494771838188171,0.6494771838188171,-1.2,0.0,SL,9
EURUSD,2025-06-08 20:00:00,2025-06-10 04:00:00,1,1.1409013271331787,1.1385764283969482,-24.248987362305407,-1.0000000000000282,SL,8
GBPUSD,2025-06-09 00:00:00,2025-06-09 12:00:00,1,1.355233907699585,1.3526650017859265,-27.18905913658437,-1.000000000000021,SL,3
GBPUSD,2025-06-09 16:00:00,2025-06-10 00:00:00,1,1.3558402061462402,1.3533516530210339,-26.385531252063497,-1.000000000000001,SL,2
GBPUSD,2025-06-10 00:00:00,2025-06-10 04:00:00,1,1.3543713092803955,1.3517580875107365,-27.632217696590576,-0.9999999999999789,SL,1
EURUSD,2025-06-10 12:00:00,2025-06-11 20:00:00,1,1.1424654722213745,1.1515509274418743,89.85455220499749,2.9999999999999765,TP,8
AUDUSD,2025-06-11 00:00:00,2025-06-11 16:00:00,1,0.6518309712409973,0.6518309712409973,-1.2,0.0,SL,4
AUDUSD,2025-06-11 20:00:00,2025-06-12 00:00:00,1,0.6512706279754639,0.6490721920694795,-23.184359059843416,-0.9999999999999792,SL,1
AUDUSD,2025-06-12 00:00:00,2025-06-12 04:00:00,1,0.6504403352737427,0.648181767293854,-23.78567979888659,-1.0000000000000187,SL,1
AUDUSD,2025-06-12 08:00:00,2025-06-13 00:00:00,1,0.6516186594963074,0.6490772706663536,-26.613888299538054,-1.0000000000000038,SL,4
GBPUSD,2025-06-13 00:00:00,2025-06-17 08:00:00,1,1.3552889823913574,1.3552889823913574,-1.5,0.0,SL,15
AUDUSD,2025-06-13 12:00:00,2025-06-16 00:00:00,1,0.6513299942016602,0.6483070464908655,-31.429477107946987,-0.9999999999999842,SL,4
EURUSD,2025-06-16 00:00:00,2025-06-17 12:00:00,1,1.1531364917755127,1.1531364917755127,-1.0,0.0,SL,9
AUDUSD,2025-06-16 04:00:00,2025-06-17 00:00:00,1,0.6509568691253662,0.6509568691253662,-1.2,0.0,SL,5
GBPUSD,2025-06-17 08:00:00,2025-06-17 12:00:00,1,1.3561896085739136,1.3529615848113177,-33.780237625958996,-0.9999999999999744,SL,1
EURUSD,2025-06-17 12:00:00,2025-06-17 16:00:00,1,1.1536686420440674,1.150298808867648,-34.698331764193675,-0.9999999999999772,SL,1
AUDUSD,2025-06-17 12:00:00,2025-06-17 16:00:00,1,0.6514997482299805,0.648883817428852,-27.3593080112843,-0.9999999999999858,SL,1
AUDUSD,2025-06-18 04:00:00,2025-06-19 04:00:00,1,0.649966835975647,0.6473787220603898,-27.081139152571506,-1.0000000000000107,SL,6
GBPUSD,2025-06-19 16:00:00,2025-06-22 20:00:00,1,1.3470009565353394,1.3430303455854837,-41.20610949855624,-0.9999999999999747,SL,8
AUDUSD,2025-06-20 00:00:00,2025-06-20 12:00:00,1,0.6494097113609314,0.6470243769896942,-25.053343712372243,-0.9999999999999903,SL,3
