pair,ci_th,atr_mult,max_levels,is_pf,is_net,is_ntp,is_loss_ev,oos_pf,oos_net,oos_ntp,oos_loss_ev,oos_worst,oos_dd
NZDJPY,61.8,1.0,5,0.8552,-925005.0,311,12,1.2755,811838.0,226,6,-618501.0,877527.0
NZDJPY,61.8,1.0,7,0.8448,-1022655.0,318,12,1.1735,594364.0,244,6,-749800.0,848570.0
NZDJPY,61.8,1.5,3,0.9401,-227541.0,137,16,0.9988,-3040.0,103,10,-514701.0,558020.0
NZDJPY,61.8,1.5,5,0.9221,-366241.0,162,9,1.2877,682331.0,121,5,-516000.0,515301.0
NZDJPY,61.8,1.5,7,0.8493,-773871.0,164,9,1.2106,532242.0,121,5,-516000.0,649984.0
NZDJPY,61.8,2.0,3,1.1513,421169.0,90,13,1.2681,461596.0,66,6,-407600.0,495603.0
NZDJPY,61.8,2.0,5,0.849,-623244.0,100,8,1.1767,376181.0,75,4,-567402.0,567402.0
NZDJPY,61.8,2.0,7,0.849,-623244.0,100,8,1.1767,376181.0,75,4,-567402.0,567402.0
NZDJPY,61.8,2.5,3,0.9431,-171757.0,65,11,1.1667,288965.0,48,6,-387500.0,453016.0
NZDJPY,61.8,2.5,5,1.0496,151875.0,74,6,0.9943,-12357.0,51,4,-584103.0,702221.0
NZDJPY,61.8,2.5,7,1.0496,151875.0,74,6,0.9943,-12357.0,51,4,-584103.0,702221.0
NZDJPY,61.8,3.0,3,0.9778,-55808.0,47,9,1.3883,512984.0,38,5,-409100.0,419429.0
NZDJPY,61.8,3.0,5,1.4341,900520.0,57,4,1.2191,343592.0,39,3,-546500.0,505979.0
NZDJPY,61.8,3.0,7,1.4341,900520.0,57,4,1.2191,343592.0,39,3,-546500.0,505979.0
NZDJPY,65.0,1.0,3,0.9797,-52442.0,147,12,1.4616,618989.0,116,7,-328600.0,392873.0
NZDJPY,65.0,1.0,5,0.9949,-17208.0,195,7,1.6509,1024983.0,154,3,-533300.0,619493.0
NZDJPY,65.0,1.0,7,1.0905,281835.0,196,6,1.6957,1112993.0,162,3,-541600.0,540858.0
NZDJPY,65.0,1.5,3,0.9117,-214474.0,87,9,1.8187,767737.0,70,5,-313700.0,313700.0
NZDJPY,65.0,1.5,5,1.2785,589700.0,104,4,2.5683,1325827.0,86,2,-510300.0,477033.0
NZDJPY,65.0,1.5,7,1.2785,589700.0,104,4,2.1906,1205441.0,88,2,-510300.0,502200.0
NZDJPY,65.0,2.0,3,0.9833,-35203.0,59,7,1.4116,432796.0,45,3,-511700.0,511700.0
NZDJPY,65.0,2.0,5,0.792,-540903.0,58,5,1.9723,778483.0,47,2,-511700.0,511700.0
NZDJPY,65.0,2.0,7,0.792,-540903.0,58,5,3.3599,1207542.0,52,1,-511700.0,511700.0
NZDJPY,65.0,2.5,3,1.0461,88802.0,46,5,1.4028,400973.0,34,3,-522601.0,522601.0
NZDJPY,65.0,2.5,5,1.0552,114872.0,50,4,3.1152,1105380.0,40,1,-522601.0,522601.0
NZDJPY,65.0,2.5,7,1.0552,114872.0,50,4,3.1152,1105380.0,40,1,-522601.0,522601.0
NZDJPY,65.0,3.0,3,0.9999,-101.0,35,5,1.2073,202535.0,24,3,-525100.0,525100.0
NZDJPY,65.0,3.0,5,1.4215,647780.0,41,3,2.6477,865229.0,29,1,-525100.0,525100.0
NZDJPY,65.0,3.0,7,1.4215,647780.0,41,3,2.6477,865229.0,29,1,-525100.0,525100.0
NZDJPY,70.0,1.0,3,3.3317,295666.0,23,1,inf,0.0,0,0,0.0,0.0
NZDJPY,70.0,1.0,5,inf,495066.0,27,0,inf,0.0,0,0,0.0,0.0
NZDJPY,70.0,1.0,7,inf,495066.0,27,0,inf,0.0,0,0,0.0,0.0
NZDJPY,70.0,1.5,3,2.914,202883.0,11,1,inf,0.0,0,0,0.0,0.0
NZDJPY,70.0,1.5,5,inf,384741.0,14,0,inf,0.0,0,0,0.0,0.0
NZDJPY,70.0,1.5,7,inf,384741.0,14,0,inf,0.0,0,0,0.0,0.0
NZDJPY,70.0,2.0,3,6.3908,269543.0,8,1,inf,0.0,0,0,0.0,0.0
