pair,method,trail_mult,atr_trail_mult,trail_start_mult,keep_tp,slope_exit_bars,div_exit_th,tight_mult,PF,win_rate,n_trades,max_dd,avg_win,avg_loss,real_rr
EURUSD,combined,,1.5,0.0,False,5,,,4.769,0.438,32,0.007755,0.012353,0.002015,6.132
EURUSD,combined,,1.5,0.0,False,2,,,4.605,0.438,32,0.009049,0.012353,0.002086,5.921
EURUSD,atr_trail,,0.5,0.5,False,,,,4.49,0.688,32,0.006964,0.005194,0.002545,2.041
EURUSD,div_tighten,,,,,,0.5,0.7,4.383,0.545,33,0.004373,0.005081,0.001391,3.653
EURUSD,fixed_trail,1.5,,,False,,,,4.377,0.452,31,0.008191,0.011433,0.002151,5.315
EURUSD,atr_trail,,1.0,1.0,False,,,,4.147,0.516,31,0.00711,0.009597,0.002469,3.888
EURUSD,combined,,1.0,1.0,False,3,,,4.147,0.516,31,0.00711,0.009597,0.002469,3.888
EURUSD,combined,,1.0,1.0,False,5,,,4.147,0.516,31,0.00711,0.009597,0.002469,3.888
EURUSD,combined,,1.0,1.0,False,2,,,4.035,0.516,31,0.008138,0.009597,0.002537,3.783
EURUSD,atr_trail,,0.75,0.0,True,,,,3.813,0.515,33,0.004672,0.004795,0.001336,3.589
EURUSD,combined,,0.75,0.0,True,3,,,3.813,0.515,33,0.004672,0.004795,0.001336,3.589
EURUSD,combined,,0.75,0.0,True,5,,,3.813,0.515,33,0.004672,0.004795,0.001336,3.589
EURUSD,fixed_trail,1.0,,,True,,,,3.691,0.5,32,0.005679,0.005732,0.001553,3.691
EURUSD,fixed_trail,0.75,,,True,,,,3.412,0.515,33,0.004591,0.004787,0.001491,3.211
EURUSD,combined,,0.75,0.0,True,2,,,3.365,0.515,33,0.005722,0.004795,0.001514,3.167
EURUSD,atr_trail,,1.0,0.0,True,,,,3.302,0.455,33,0.005788,0.005874,0.001482,3.963
EURUSD,combined,,1.0,0.0,True,3,,,3.302,0.455,33,0.005788,0.005874,0.001482,3.963
EURUSD,combined,,1.0,0.0,True,5,,,3.302,0.455,33,0.005788,0.005874,0.001482,3.963
EURUSD,atr_trail,,0.5,0.5,True,,,,3.222,0.688,32,0.006987,0.003727,0.002545,1.464
EURUSD,div_tighten,,,,,,1.5,0.5,3.201,0.516,31,0.00545,0.006493,0.002164,3.001
EURUSD,combined,,1.0,0.0,True,2,,,3.037,0.455,33,0.00667,0.005874,0.001612,3.645
EURUSD,div_tighten,,,,,,1.5,0.7,3.012,0.484,31,0.00545,0.006789,0.002113,3.213
EURUSD,atr_trail,,0.75,0.75,True,,,,2.945,0.594,32,0.006964,0.004838,0.002401,2.015
EURUSD,combined,,0.75,0.75,True,3,,,2.945,0.594,32,0.006964,0.004838,0.002401,2.015
EURUSD,combined,,0.75,0.75,True,5,,,2.945,0.594,32,0.006964,0.004838,0.002401,2.015
EURUSD,combined,,0.75,0.75,True,2,,,2.851,0.594,32,0.007846,0.004838,0.00248,1.95
EURUSD,atr_trail,,1.5,1.5,True,,,,2.717,0.5,30,0.006964,0.006706,0.002469,2.717
EURUSD,combined,,1.5,1.5,True,3,,,2.717,0.5,30,0.006964,0.006706,0.002469,2.717
EURUSD,combined,,1.5,1.5,True,5,,,2.717,0.5,30,0.006964,0.006706,0.002469,2.717
EURUSD,baseline,,,,,,,,2.67,0.467,30,0.006964,0.007415,0.00243,3.051
EURUSD,atr_trail,,2.0,0.0,True,,,,2.67,0.467,30,0.006964,0.00705,0.00231,3.051
