sym,entry_time,exit_time,session,direction,entry,exit,sl,tp,rh,rl,sh,sl_level,result,pnl,pnl_pips,rr,atr
GBPJPY,2019-10-06 21:15:00,2019-10-06 22:00:00,13,long,131.387,131.63049999999998,131.107997930713,131.63049999999998,131.986,131.275,133.352,130.618625,tp,0.22349999999998318,22.349999999998317,0.8727533835940848,1.033347128580071
GBPJPY,2019-11-17 22:30:00,2019-11-17 23:45:00,13,short,140.437,140.428,140.7060869150156,140.06650000000002,140.461,139.672,140.583,139.363,timeout,-0.010999999999985449,-1.0999999999985448,1.3768785449063703,0.8739127667706336
GBPJPY,2019-12-22 22:30:00,2019-12-22 23:45:00,13,long,142.178,142.394,141.88700543356788,142.5675,143.049,142.086,146.805,140.829,timeout,0.1960000000000082,19.60000000000082,1.3385129652957228,1.2266304428808765
GBPJPY,2020-02-09 22:15:00,2020-02-09 23:45:00,13,long,141.397,141.294,141.16819241102849,141.8775,142.371,141.384,143.373,140.92,timeout,-0.12299999999998022,-12.299999999998022,2.100017757976744,1.0120505931432962
GBPJPY,2020-02-20 13:30:00,2020-02-20 14:45:00,13,short,144.068,144.31124192276684,144.31124192276684,143.49,144.162,142.818,144.88280999999998,142.139,sl,-0.2632419227668277,-26.324192276682766,2.3762351219122504,0.934946151778958
GBPJPY,2020-03-08 21:15:00,2020-03-08 22:45:00,13,long,136.47799999999998,136.10530175367526,136.10530175367526,137.081,137.73,136.432,138.676,135.74983999999998,sl,-0.39269824632471684,-39.26982463247168,1.6179308755712236,1.3713216421650407
GBPJPY,2020-04-05 21:15:00,2020-04-05 23:45:00,13,long,132.582,132.802,132.14887351937284,133.233,133.925,132.541,134.617,132.347,timeout,0.19999999999999887,19.999999999999886,1.5030251649757946,2.1341765375142785
GBPJPY,2020-04-08 13:30:00,2020-04-08 21:30:00,13,short,134.72,134.74,135.2444606698024,134.036,134.972,133.1,135.64686,132.469,timeout,-0.040000000000010236,-4.000000000001023,1.304196938652608,2.0364044653494444
GBPJPY,2020-06-21 21:15:00,2020-06-21 23:45:00,13,long,131.902,131.889,131.4381510658305,132.5825,133.246,131.919,136.347,131.773,timeout,-0.03299999999997681,-3.2999999999976812,1.4670724666392985,1.4523262277966578
GBPJPY,2020-06-28 21:15:00,2020-06-28 23:45:00,13,long,132.21699999999998,132.323,131.8763123912098,132.6485,133.26,132.037,133.984,131.656,timeout,0.08600000000002296,8.600000000002296,1.2665561906766662,1.304584058601349
GBPJPY,2020-09-20 21:45:00,2020-09-20 23:45:00,13,long,135.218,135.183,134.8300677192489,135.55200000000002,136.156,134.948,136.464,134.565,timeout,-0.05499999999999659,-5.499999999999659,0.8609750118070914,1.1462152050075414
GBPJPY,2020-09-27 21:45:00,2020-09-27 23:45:00,13,short,134.74,134.76,135.0454221190416,134.32299999999998,134.821,133.825,135.326,133.035,timeout,-0.039999999999981814,-3.9999999999981815,1.3653235113048252,1.1361474602773993
GBPJPY,2020-10-11 21:45:00,2020-10-11 23:45:00,13,short,137.71800000000002,137.627,137.94417779486926,137.303,137.824,136.782,138.51312,135.891,timeout,0.07100000000000818,7.100000000000818,1.8348397120059317,1.0811852991284174
GBPJPY,2021-05-02 21:30:00,2021-05-02 23:45:00,13,long,150.93699999999998,151.015,150.70466669000527,151.49,152.111,150.869,152.406,149.533,timeout,0.05800000000000295,5.800000000000295,2.3802010999309795,0.9088887332981876
GBPJPY,2021-05-09 21:15:00,2021-05-09 22:00:00,13,short,151.97,152.20012116848665,152.20012116848665,151.6865,152.112,151.261,152.23,150.995,sl,-0.25012116848664734,-25.012116848664732,1.2319596752632238,0.867474456577708
GBPJPY,2021-06-13 21:30:00,2021-06-13 23:45:00,13,long,154.636,154.887,154.4646430285481,154.9215,155.205,154.638,155.312,154.546,timeout,0.23100000000000478,23.100000000000477,1.6661125461134436,0.722379809679482
GBPJPY,2021-06-20 21:30:00,2021-06-20 23:45:00,13,long,152.118,152.255,151.79004400824738,152.87400000000002,153.764,151.984,155.482,151.22408000000001,timeout,0.11700000000000045,11.700000000000045,2.3051873391912063,0.8663732783506467
GBPJPY,2021-08-03 13:30:00,2021-08-03 13:45:00,13,long,151.60399999999998,151.35631224804177,151.35631224804177,152.19549999999998,152.858,151.533,153.441,151.4,sl,-0.2676877519582104,-26.768775195821036,2.388087401672545,0.9979183463882435
GBPJPY,2021-09-19 21:30:00,2021-09-19 23:45:00,13,long,151.07299999999998,150.978,150.68620613347105,151.435,151.925,150.945,152.848,150.825,timeout,-0.11499999999997045,-11.499999999997044,0.9358990183804914,0.7186257768597551
GBPJPY,2021-09-21 13:45:00,2021-09-21 14:45:00,13,long,149.47899999999998,148.99468003345206,148.99468003345206,150.1025,151.045,149.16,151.925,148.4142,sl,-0.504319966547929,-50.4319966547929,1.2873720743831953,0.8287997769862167
GBPJPY,2021-10-21 13:45:00,2021-10-21 21:45:00,13,long,157.14999999999998,157.224,156.7560266297443,157.615,158.215,157.015,159.00607499999998,156.606,timeout,0.054000000000012274,5.400000000001227,1.1802828188571677,1.0731558017046996
GBPJPY,2021-11-07 22:15:00,2021-11-07 23:45:00,13,long,152.97299999999998,153.08,152.58413111623636,153.28449999999998,153.761,152.808,156.245,152.04396,timeout,0.08700000000002774,8.700000000002774,0.8010412069620478,1.1324592250908396
GBPJPY,2021-12-07 13:30:00,2021-12-07 21:30:00,13,short,150.37800000000001,150.355,150.73589995120363,149.9755,150.602,149.349,154.212,148.975,timeout,0.003000000000024556,0.3000000000024556,1.1246159678043894,1.165999674690861
GBPJPY,2022-02-02 13:15:00,2022-02-02 15:00:00,13,short,155.097,154.8425,155.31774287134186,154.8425,155.202,154.483,156.899,152.899,tp,0.23450000000000729,23.450000000000728,1.1529251135175909,0.8849524756123898
GBPJPY,2022-09-25 21:15:00,2022-09-25 23:45:00,13,long,155.309,154.889,154.64155914079456,157.871,160.376,155.366,164.433,154.58917000000002,timeout,-0.4399999999999875,-43.99999999999875,3.838542343736577,1.8562723947029431
GBPJPY,2022-10-25 13:30:00,2022-10-25 21:30:00,13,short,169.119,169.73,169.96681991710827,168.3665,169.492,167.241,169.72,164.939,timeout,-0.63099999999999,-63.099999999999,0.887570561643107,2.6721327807218156
GBPJPY,2022-11-22 13:30:00,2022-11-22 21:30:00,13,short,167.99,167.797,168.41482822730754,167.0935,168.097,166.09,169.082,163.676,timeout,0.17300000000001206,17.300000000001205,2.1102646725756187,1.832188182050339
GBPJPY,2023-02-03 13:45:00,2023-02-03 15:15:00,13,long,157.64,158.38049999999998,156.87655925666724,158.38049999999998,159.608,157.153,161.412,155.635,tp,0.7204999999999973,72.04999999999973,0.9699508527241978,1.6229382888851434
GBPJPY,2023-02-26 22:15:00,2023-02-26 23:45:00,13,short,162.901,163.013,163.30293479910316,162.15300000000002,163.114,161.192,163.751,161.16,timeout,-0.13199999999999476,-13.199999999999475,1.8609983551288312,1.3928986606876792
GBPJPY,2023-03-16 13:45:00,2023-03-16 17:00:00,13,long,159.512,161.6655,158.42923938430206,161.6655,164.133,159.198,164.229,158.40201000000002,tp,2.133500000000008,213.35000000000082,1.988897609294632,1.9250707713195259
GBPJPY,2023-03-31 13:15:00,2023-03-31 16:15:00,13,short,164.779,164.01100000000002,165.29042037047958,164.01100000000002,165.056,162.966,165.88128,158.254,tp,0.7479999999999722,74.79999999999723,1.5017000579773168,1.8828024698637311
GBPJPY,2023-06-27 13:30:00,2023-06-27 14:00:00,13,short,182.758,183.18068241834956,183.18068241834956,182.334,182.988,181.68,183.90293999999997,174.345,sl,-0.44268241834955235,-44.268241834955234,1.0031171905744247,1.3912161223303445
GBPJPY,2023-06-28 13:30:00,2023-06-28 21:30:00,13,long,182.351,182.484,182.03663418296114,182.995,183.759,182.231,184.67779499999997,174.345,timeout,0.11300000000000977,11.300000000000978,2.0485687854554304,1.3957721135924617
GBPJPY,2023-08-06 21:45:00,2023-08-06 23:45:00,13,long,180.653,180.862,180.25573904928697,181.19,181.737,180.643,183.246,176.303,timeout,0.1890000000000032,18.90000000000032,1.3517563179471292,1.595073004753533
GBPJPY,2023-09-17 21:15:00,2023-09-17 23:45:00,13,long,182.959,183.305,182.56434342592738,183.336,183.906,182.766,184.383,182.672,timeout,0.3260000000000036,32.600000000000364,0.9552609148495566,1.2110438271508526
