dc,adx_th,trail,atr_p,seg,N,WR,PF,net_R,avg_R,Sharpe,maxDD_pct,ddwin_R
10,20,2.0,14,OOS,52,38.5,0.702,-6.2,-0.119,-0.935,7.57,-0.14
10,20,2.0,20,IS,91,36.3,0.959,-1.41,-0.015,-0.129,14.3,4.42
10,20,2.0,20,OOS,52,38.5,0.787,-4.42,-0.085,-0.588,6.66,-0.15
10,20,3.0,10,IS,62,37.1,0.717,-6.09,-0.098,-0.791,13.37,3.31
10,20,3.0,10,OOS,33,39.4,0.802,-2.15,-0.065,-0.482,4.64,-0.36
10,20,3.0,14,IS,62,35.5,0.7,-6.9,-0.111,-0.85,14.29,3.13
10,20,3.0,14,OOS,33,33.3,0.718,-3.32,-0.101,-0.726,4.88,-0.31
10,20,3.0,20,IS,62,35.5,0.711,-7.11,-0.115,-0.818,14.63,3.05
10,20,3.0,20,OOS,33,30.3,0.67,-4.11,-0.125,-0.883,4.89,-0.35
10,20,4.0,10,IS,42,45.2,1.141,1.52,0.036,0.253,5.69,4.58
10,20,4.0,10,OOS,24,41.7,0.934,-0.41,-0.017,-0.127,3.27,-0.34
10,20,4.0,14,IS,40,42.5,1.196,2.25,0.056,0.338,6.28,4.54
10,20,4.0,14,OOS,24,41.7,0.853,-0.99,-0.041,-0.295,3.63,-0.37
10,20,4.0,20,IS,41,41.5,1.131,1.6,0.039,0.239,6.16,3.18
10,20,4.0,20,OOS,24,41.7,0.813,-1.35,-0.056,-0.387,4.05,-0.41
10,25,2.0,10,IS,71,35.2,0.946,-1.43,-0.02,-0.145,9.77,8.07
10,25,2.0,10,OOS,40,35.0,0.722,-4.58,-0.115,-0.832,7.94,-0.81
10,25,2.0,14,IS,73,34.2,0.911,-2.53,-0.035,-0.25,10.53,7.56
10,25,2.0,14,OOS,40,35.0,0.693,-5.09,-0.127,-0.921,7.79,-0.86
10,25,2.0,20,IS,73,34.2,0.99,-0.28,-0.004,-0.028,10.54,6.94
10,25,2.0,20,OOS,41,34.1,0.74,-4.57,-0.111,-0.703,7.13,-0.88
10,25,3.0,10,IS,51,35.3,0.652,-6.59,-0.129,-0.928,12.11,2.2
10,25,3.0,10,OOS,26,34.6,0.731,-2.49,-0.096,-0.664,5.04,-0.77
10,25,3.0,14,IS,51,33.3,0.65,-7.05,-0.138,-0.935,12.78,2.3
10,25,3.0,14,OOS,26,34.6,0.682,-3.14,-0.121,-0.82,5.44,-0.82
10,25,3.0,20,IS,51,35.3,0.681,-6.84,-0.134,-0.844,12.77,2.44
10,25,3.0,20,OOS,26,34.6,0.642,-3.73,-0.143,-0.954,5.79,-0.85
10,25,4.0,10,IS,33,48.5,1.162,1.45,0.044,0.256,3.91,3.45
10,25,4.0,10,OOS,19,42.1,0.818,-1.03,-0.054,-0.362,3.73,-0.77
10,25,4.0,14,IS,31,48.4,1.24,2.2,0.071,0.363,4.28,3.54
10,25,4.0,14,OOS,19,42.1,0.759,-1.43,-0.075,-0.486,4.14,-0.81
10,25,4.0,20,IS,32,46.9,1.188,1.82,0.057,0.299,4.45,2.34
10,25,4.0,20,OOS,19,47.4,0.734,-1.64,-0.087,-0.535,4.5,-0.84
10,30,2.0,10,IS,58,36.2,0.958,-0.76,-0.013,-0.097,8.77,3.4
10,30,2.0,10,OOS,30,46.7,1.106,1.04,0.035,0.241,3.94,0.0
10,30,2.0,14,IS,59,37.3,0.942,-1.15,-0.02,-0.137,9.64,2.93
10,30,2.0,14,OOS,30,46.7,1.03,0.3,0.01,0.07,4.12,0.0
10,30,2.0,20,IS,59,33.9,1.018,0.37,0.006,0.043,9.64,2.55
10,30,2.0,20,OOS,31,45.2,1.112,1.2,0.039,0.221,4.46,0.0
