pair,sizing_mode,n,z_in,z_tp,z_stop,max_hold,is_pf,is_n,is_net,is_dd,oos_pf,oos_n,oos_net,oos_dd,oos_wr,oos_avglot,wfo_min
AUDCAD,combo,80,2.5,1.0,4.0,48,1.0501521735416135,586,392.2083970870892,804.1942220497912,1.3195956933138746,384,1261.4412700553871,414.32104805818557,0.6041666666666666,1.2081379014775078,0.9326832976932924
EURGBP,fixed,20,2.0,0.0,4.0,24,0.8088591887136479,2883,-4716.303323683036,4759.608698443068,0.9746365280722885,1806,-251.0848325715774,690.2197339488127,0.5299003322259136,1.0,0.800991885983216
EURGBP,zscale,20,2.0,0.0,4.0,24,0.8050303065048439,2883,-7344.369564286232,7435.315540691485,0.9651826576885233,1806,-528.2704277484848,1174.2207444579276,0.5299003322259136,1.5521814973388695,0.7477632602971463
EURGBP,voladj,20,2.0,0.0,4.0,24,0.8280361954072214,2883,-3494.171665745437,3521.326853125458,1.0021883807250844,1806,17.753318572655928,558.9392273386475,0.5299003322259136,0.8419158361018826,0.8569099842331649
EURGBP,combo,20,2.0,0.0,4.0,24,0.8250700410390094,2883,-5417.314386022698,5475.720615150342,0.9966942064521729,1806,-41.02363949368305,906.2497929652324,0.5299003322259136,1.3064366646188132,0.8052256004519011
EURGBP,fixed,20,2.0,0.0,4.0,48,0.806020899715854,2869,-4776.626746477619,4819.932121237648,0.9785564514691091,1799,-210.11638435634802,676.9608751736275,0.5302946081156198,1.0,0.8212786288483096
EURGBP,zscale,20,2.0,0.0,4.0,48,0.8027946382807382,2869,-7424.5154746144935,7515.461451019751,0.9697966015955627,1799,-453.584951634266,1128.8967250315811,0.5302946081156198,1.5533788665173642,0.7668403268970978
EURGBP,voladj,20,2.0,0.0,4.0,48,0.8264537276246056,2869,-3510.6556520263484,3537.8108394063643,1.006330389786271,1799,50.958019280945905,537.718321783881,0.5302946081156198,0.8426903835464147,0.8789430258848362
EURGBP,combo,20,2.0,0.0,4.0,48,0.8239492278322108,2869,-5436.206102906037,5494.612332033682,1.0013737591908598,1799,16.917871245094773,879.6020230747954,0.5302946081156198,1.3084294792306987,0.823097453138173
EURGBP,fixed,20,2.0,1.0,4.0,24,0.7817943105223569,3258,-4468.640410159149,4536.319902229339,0.8267128516249064,2028,-1481.2336238398134,1492.6667087074406,0.5596646942800789,1.0,0.7390462989664989
EURGBP,zscale,20,2.0,1.0,4.0,24,0.7832977062328337,3258,-6802.444309375485,6924.920229781033,0.828080465316164,2028,-2264.5921893751665,2282.4829718109067,0.5596646942800789,1.5315982471872758,0.7083260798486605
EURGBP,voladj,20,2.0,1.0,4.0,24,0.8055261468811293,3258,-3260.417186840544,3310.0786744796706,0.8426615003676979,2028,-1111.9678414298296,1124.7804691003103,0.5596646942800789,0.840483234714004,0.7466596383745947
EURGBP,combo,20,2.0,1.0,4.0,24,0.8083447775257807,3258,-4921.358816385084,5007.525248462053,0.8469194483965964,2028,-1662.7694527260533,1687.6519578449645,0.5596646942800789,1.2868923390562679,0.7179835460901363
EURGBP,fixed,20,2.0,1.0,4.0,48,0.7817943105223569,3258,-4468.640410159149,4536.319902229339,0.8267128516249064,2028,-1481.2336238398134,1492.6667087074406,0.5596646942800789,1.0,0.7390462989664989
EURGBP,zscale,20,2.0,1.0,4.0,48,0.7832977062328337,3258,-6802.444309375485,6924.920229781033,0.828080465316164,2028,-2264.5921893751665,2282.4829718109067,0.5596646942800789,1.5315982471872758,0.7083260798486605
EURGBP,voladj,20,2.0,1.0,4.0,48,0.8055261468811293,3258,-3260.417186840544,3310.0786744796706,0.8426615003676979,2028,-1111.9678414298296,1124.7804691003103,0.5596646942800789,0.840483234714004,0.7466596383745947
EURGBP,combo,20,2.0,1.0,4.0,48,0.8083447775257807,3258,-4921.358816385084,5007.525248462053,0.8469194483965964,2028,-1662.7694527260533,1687.6519578449645,0.5596646942800789,1.2868923390562679,0.7179835460901363
EURGBP,fixed,20,2.5,0.0,4.0,24,0.7768294936692889,1759,-3326.8823221586154,3386.162696918649,0.9357249878405874,1073,-397.27568586589064,621.3489224548955,0.45293569431500463,1.0,0.6995344695928875
