pair,exit_mode,z_stop,vt_th,is_pf,oos_pf,full_pf,wfo_min,oos_net,oos_dd,oos_avglot,sign_reversal,selectable
EURGBP,B,4.0,1.01,0.9173483286900269,1.5324486288205632,1.0777241731354723,0.5184816107445797,523.2997227585548,195.75805376460022,0.3662393162393163,True,False
EURGBP,B,4.0,0.5,0.8885183098248651,1.3997512019720317,1.0279714246216627,0.552274687768487,293.88018082124853,145.07508859775893,0.26688034188034193,True,False
EURGBP,B,4.0,0.6,0.8860313269948925,1.4024535282795707,1.0221221538201377,0.5537512899572627,307.1168872570405,141.87583859775893,0.2790598290598291,True,False
EURGBP,B,4.0,0.7,0.9086693178381745,1.403736251136991,1.0386855295579926,0.5704289821737664,320.52739671049204,141.87583859775887,0.28803418803418807,True,False
EURGBP,B,4.0,0.8,0.9420991671810833,1.447866997772818,1.0792726993528372,0.5439246145240922,377.1815736814618,163.51249849342514,0.31431623931623937,True,False
EURGBP,B,4.0,0.9,0.9957587619051812,1.4782500083939525,1.128501472297452,0.5702438436053299,416.29689688198,162.6509984934251,0.33290598290598294,True,False
EURGBP,B,4.5,1.01,0.997808762997638,1.2426218011538022,1.0701124045174126,0.45453964609523495,271.4437924941428,293.08200557729776,0.40817307692307697,True,False
EURGBP,B,4.5,0.5,0.9189661704943702,1.238029955508495,1.0088080867883282,0.530357263252147,184.49623114030842,194.4872363922415,0.29278846153846155,True,False
EURGBP,B,4.5,0.6,0.932624203070217,1.241793879880511,1.0182686470916076,0.5328536740891097,194.32372900557414,194.21098639224135,0.3060096153846154,True,False
EURGBP,B,4.5,0.7,0.9679422396657322,1.2681270190986693,1.0506632476522773,0.597048937035459,223.06169055853556,188.68573639224138,0.31923076923076926,True,False
EURGBP,B,4.5,0.8,1.0024778790023567,1.2769392224147753,1.082435667548166,0.5627982430863135,250.16119705330567,203.05540304675355,0.34975961538461536,False,False
EURGBP,B,4.5,0.9,1.0507744384887645,1.3043841269105287,1.1257766242951641,0.5744053264108416,283.80572905697994,204.80505242451775,0.36899038461538464,False,False
EURGBP,B,5.0,1.01,0.963413680793875,1.2473035176416272,1.0476257659231412,0.4855423204624213,285.6925620477309,327.57600090553643,0.43743589743589756,True,False
EURGBP,B,5.0,0.5,0.9017060083120271,1.2683029156938457,1.0056861029426702,0.5950921803203254,211.5794291615259,217.11488389107095,0.3217948717948719,True,False
EURGBP,B,5.0,0.6,0.9058940927517755,1.2905460491876335,1.0108261847652336,0.5943965554467062,234.7299950812499,216.83863389107097,0.33666666666666667,True,False
EURGBP,B,5.0,0.7,0.9469507344433887,1.2939698655792893,1.041973412742894,0.6564756998772323,245.80081176990666,211.313383891071,0.34769230769230774,True,False
EURGBP,B,5.0,0.8,0.9762785112242413,1.286721508424011,1.0659158119251573,0.5908429279391559,261.66882707924356,223.1921250709583,0.3792307692307693,True,False
EURGBP,B,5.0,0.9,1.027967901953156,1.3027424036517978,1.1086824918248315,0.6019786496541766,285.7713468011667,232.69668566371587,0.39717948717948726,False,False
