pair,grp,year,pf,net,n_tp,n_fs,n_b48,n_force,tp_fs_ratio,max_dd,worst,trend_atr,path_eff,rng_atr,gate_share
EURCHF,ANCHOR_NOGO,2020,5.3088,2687554.0,126,0,1,1,126.0,623730.0,-623730.0,4.1553556827475315,0.006634984463535047,46.97955846279821,0.11568
EURCHF,ANCHOR_NOGO,2021,0.701,-987991.0,114,2,2,4,28.5,1375549.0,-932450.0,57.172033118674335,0.0786763793622942,106.30726770929017,0.10336538461538461
EURCHF,ANCHOR_NOGO,2022,1.0145,50192.0,109,3,1,4,27.25,1456524.0,-998240.0,34.4451682953312,0.04718474096285183,91.53203040173723,0.1076923076923077
EURCHF,ANCHOR_NOGO,2023,1.1428,473990.0,162,3,1,4,40.5,1498720.0,-1011330.0,63.819920318726176,0.08874996121746122,94.03984063745173,0.1352524927629463
EURCHF,ANCHOR_NOGO,2024,1.2695,467445.0,96,1,2,3,32.0,1089803.0,-912220.0,13.708333333333291,0.018147742224835995,81.41987179487147,0.09185469675148024
EURCHF,ANCHOR_NOGO,2025,2.7259,1572312.0,114,0,2,2,57.0,574770.0,-574770.0,8.905759162303582,0.012635848369819574,58.9808027923204,0.116144578313253
EURCHF,ANCHOR_NOGO,2026,1.0559,52566.0,66,0,2,2,33.0,742633.0,-788970.0,17.563636363636032,0.052954719877206506,55.25133689839449,0.12276119402985075
EURUSD,ANCHOR_NOGO,2015,0.7099,-235484.0,15,0,1,1,15.0,811735.0,-811735.0,19.703119128147616,0.04358350693030146,62.70800450958381,0.02716763005780347
EURUSD,ANCHOR_NOGO,2016,0.6834,-735940.0,33,2,0,2,16.5,2110264.0,-1201095.0,23.462345090562593,0.030395241882499313,84.34032411820871,0.01905219340377842
EURUSD,ANCHOR_NOGO,2017,0.5067,-842347.0,30,0,2,2,15.0,1330631.0,-925505.0,110.38977635782605,0.13670984240700915,130.60702875399195,0.026188946015424163
EURUSD,ANCHOR_NOGO,2018,inf,746491.0,21,0,0,0,21.0,0.0,0.0,36.39735724398337,0.04823950753496038,88.51250589900981,0.019270916974466035
