pair,ci_th,atr_mult,max_levels,float_stop,is_pf,is_net,is_ntp,is_lev,oos_pf,oos_net,oos_ntp,oos_lev,oos_worst,oos_dd
GBPJPY,65.0,2.0,7,-750000.0,1.5715,967941.0,36,2,0.806,-340964.0,29,2,-920697.0,1396827.0
GBPJPY,65.0,2.0,7,-1000000.0,1.2382,502157.0,35,2,1.531,562580.0,33,1,-1059398.0,1059398.0
GBPJPY,65.0,2.0,7,-1500000.0,0.8485,-466043.0,35,2,inf,1840392.0,38,0,0.0,0.0
GBPJPY,65.0,2.0,7,-2000000.0,inf,2743287.0,37,0,inf,1840392.0,38,0,0.0,0.0
GBPJPY,65.0,2.0,7,-3000000.0,inf,2743287.0,37,0,inf,1840392.0,38,0,0.0,0.0
GBPJPY,65.0,3.0,3,-500000.0,0.9196,-177683.0,18,4,0.7292,-433911.0,16,3,-588600.0,1208827.0
GBPJPY,65.0,3.0,3,-750000.0,0.9235,-178486.0,19,3,1.0159,16849.0,15,2,-756599.0,821561.0
GBPJPY,65.0,3.0,3,-1000000.0,1.095,193145.0,20,2,1.0429,44447.0,15,2,-729001.0,793962.0
GBPJPY,65.0,3.0,3,-1500000.0,inf,2323780.0,21,0,1.0429,44447.0,15,2,-729001.0,793962.0
GBPJPY,65.0,3.0,3,-2000000.0,inf,2323780.0,21,0,1.0429,44447.0,15,2,-729001.0,793962.0
GBPJPY,65.0,3.0,3,-3000000.0,inf,2323780.0,21,0,1.0429,44447.0,15,2,-729001.0,793962.0
GBPJPY,65.0,3.0,5,-500000.0,0.9196,-177683.0,18,4,0.762,-364906.0,16,3,-519595.0,1139823.0
GBPJPY,65.0,3.0,5,-750000.0,0.9235,-178486.0,19,3,1.7116,549084.0,18,1,-771597.0,708104.0
GBPJPY,65.0,3.0,5,-1000000.0,1.095,193145.0,20,2,inf,1577823.0,22,0,0.0,0.0
GBPJPY,65.0,3.0,5,-1500000.0,inf,2323780.0,21,0,inf,1577823.0,22,0,0.0,0.0
GBPJPY,65.0,3.0,5,-2000000.0,inf,2323780.0,21,0,inf,1577823.0,22,0,0.0,0.0
GBPJPY,65.0,3.0,5,-3000000.0,inf,2323780.0,21,0,inf,1577823.0,22,0,0.0,0.0
GBPJPY,65.0,3.0,7,-500000.0,0.9196,-177683.0,18,4,0.762,-364906.0,16,3,-519595.0,1139823.0
GBPJPY,65.0,3.0,7,-750000.0,0.9235,-178486.0,19,3,1.7116,549084.0,18,1,-771597.0,708104.0
GBPJPY,65.0,3.0,7,-1000000.0,1.095,193145.0,20,2,inf,1577823.0,22,0,0.0,0.0
GBPJPY,65.0,3.0,7,-1500000.0,inf,2323780.0,21,0,inf,1577823.0,22,0,0.0,0.0
GBPJPY,65.0,3.0,7,-2000000.0,inf,2323780.0,21,0,inf,1577823.0,22,0,0.0,0.0
GBPJPY,65.0,3.0,7,-3000000.0,inf,2323780.0,21,0,inf,1577823.0,22,0,0.0,0.0
GBPJPY,70.0,1.0,3,-500000.0,inf,450293.0,11,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,3,-750000.0,inf,450293.0,11,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,3,-1000000.0,inf,450293.0,11,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,3,-1500000.0,inf,450293.0,11,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,3,-2000000.0,inf,450293.0,11,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,3,-3000000.0,inf,450293.0,11,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,5,-500000.0,inf,490528.0,12,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,5,-750000.0,inf,490528.0,12,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,5,-1000000.0,inf,490528.0,12,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,5,-1500000.0,inf,490528.0,12,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,5,-2000000.0,inf,490528.0,12,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,5,-3000000.0,inf,490528.0,12,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,7,-500000.0,inf,490528.0,12,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,7,-750000.0,inf,490528.0,12,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,7,-1000000.0,inf,490528.0,12,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,7,-1500000.0,inf,490528.0,12,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,7,-2000000.0,inf,490528.0,12,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,7,-3000000.0,inf,490528.0,12,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,3,-500000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,3,-750000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,3,-1000000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,3,-1500000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,3,-2000000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,3,-3000000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,5,-500000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,5,-750000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,5,-1000000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
