pair,lb,adx,er_n,er_th,dir,full_pf,full_n,full_net,full_sh,full_dd,is_pf,is_n,oos_pf,oos_n,wfo_min,wfo_med,yr_pos,PASS
CHFJPY,100,30,20,0.3,long,0.865,45,-503.5,-0.28,7.7,1.018,20,0.823,25,0.06,0.79,50.0,
CHFJPY,100,30,20,0.4,both,0.493,53,-2346.4,-2.09,11.7,0.388,29,0.573,24,0.15,0.33,20.0,
CHFJPY,100,30,20,0.4,long,0.629,36,-1070.3,-1.23,6.9,0.584,16,0.645,20,0.09,0.29,40.0,
CHFJPY,100,30,30,0.35,both,0.651,50,-1325.8,-1.59,10.0,0.326,28,1.034,22,0.25,0.61,20.0,
CHFJPY,100,30,30,0.35,long,0.763,37,-641.8,-1.06,6.8,0.423,18,0.963,19,0.1,0.61,20.0,
CHFJPY,150,0,0,0.0,both,0.685,288,-7940.0,-2.33,57.4,0.636,169,0.728,119,0.33,0.85,17.0,
CHFJPY,150,0,0,0.0,long,0.829,177,-2671.6,-0.97,23.1,0.613,94,0.985,83,0.33,1.01,36.0,
CHFJPY,150,0,20,0.3,both,0.957,146,-522.4,0.4,14.1,0.883,82,1.02,64,0.13,1.05,42.0,
CHFJPY,150,0,20,0.3,long,1.226,96,1698.5,1.11,7.5,1.063,46,1.317,50,0.13,1.29,55.0,
CHFJPY,150,0,20,0.4,both,0.93,93,-531.0,0.49,8.5,0.902,45,0.952,48,0.0,0.66,36.0,
CHFJPY,150,0,20,0.4,long,1.296,64,1340.5,1.12,5.3,1.591,26,1.182,38,0.0,0.93,45.0,
CHFJPY,150,0,30,0.35,both,0.538,77,-3286.7,-2.15,17.6,0.328,40,0.751,37,0.14,0.94,45.0,
CHFJPY,150,0,30,0.35,long,1.02,49,71.4,-0.05,6.2,0.818,21,1.124,28,0.26,1.12,45.0,
CHFJPY,150,20,0,0.0,both,0.762,203,-4388.8,-1.18,31.3,0.681,112,0.828,91,0.33,1.02,42.0,
CHFJPY,150,20,0,0.0,long,0.954,137,-542.8,-0.23,14.7,0.663,69,1.148,68,0.33,1.38,45.0,
CHFJPY,150,20,20,0.3,both,0.812,121,-2021.7,-0.33,13.6,0.815,65,0.81,56,0.18,0.69,42.0,
CHFJPY,150,20,20,0.3,long,1.066,85,447.3,0.5,7.4,0.948,40,1.138,45,0.21,1.21,45.0,
CHFJPY,150,20,20,0.4,both,0.784,84,-1518.4,-0.18,8.8,0.746,42,0.819,42,0.0,0.68,36.0,
CHFJPY,150,20,20,0.4,long,1.122,59,510.8,0.63,5.5,1.34,24,1.025,35,0.0,0.7,45.0,
CHFJPY,150,20,30,0.35,both,0.522,72,-3192.4,-2.16,16.4,0.354,36,0.666,36,0.12,0.88,45.0,
CHFJPY,150,20,30,0.35,long,0.902,48,-352.5,-0.47,6.6,0.74,21,0.981,27,0.23,1.06,45.0,
CHFJPY,150,25,0,0.0,both,0.764,145,-3312.9,-0.67,20.0,0.742,70,0.778,75,0.16,1.24,42.0,
CHFJPY,150,25,0,0.0,long,1.025,100,212.2,0.22,11.3,0.89,43,1.091,57,0.23,1.24,55.0,
CHFJPY,150,25,20,0.3,both,0.697,94,-2747.1,-0.75,13.7,0.839,48,0.601,46,0.07,0.44,33.0,
CHFJPY,150,25,20,0.3,long,0.853,69,-880.9,-0.13,10.4,1.051,31,0.771,38,0.11,0.47,45.0,
CHFJPY,150,25,20,0.4,both,0.673,68,-2006.2,-0.61,9.0,0.689,34,0.66,34,0.13,1.38,36.0,
CHFJPY,150,25,20,0.4,long,0.944,49,-217.2,0.15,6.6,1.16,21,0.83,28,0.22,1.29,45.0,
CHFJPY,150,25,30,0.35,both,0.51,69,-3022.7,-2.16,15.7,0.364,36,0.653,33,0.11,0.73,40.0,
CHFJPY,150,25,30,0.35,long,0.858,46,-478.0,-0.54,6.8,0.762,21,0.91,25,0.21,0.73,40.0,
CHFJPY,150,30,0,0.0,both,0.763,98,-2262.6,-0.68,16.3,0.547,49,0.934,49,0.02,3.04,36.0,
CHFJPY,150,30,0,0.0,long,0.994,70,-37.3,0.01,11.2,0.828,31,1.073,39,0.03,12.04,45.0,
CHFJPY,150,30,20,0.3,both,0.698,67,-1966.4,-0.52,11.6,0.847,32,0.606,35,0.03,0.78,50.0,
CHFJPY,150,30,20,0.3,long,0.902,49,-437.1,0.12,9.3,1.452,21,0.719,28,0.05,0.79,60.0,
CHFJPY,150,30,20,0.4,both,0.602,52,-1974.5,-0.71,9.5,0.76,25,0.486,27,0.05,0.33,30.0,
CHFJPY,150,30,20,0.4,long,0.796,39,-706.6,-0.11,8.2,1.366,17,0.556,22,0.06,0.29,50.0,
CHFJPY,150,30,30,0.35,both,0.608,53,-1734.8,-1.36,9.6,0.507,26,0.691,27,0.05,0.61,20.0,
CHFJPY,150,30,30,0.35,long,0.844,39,-456.6,-0.56,6.6,0.847,18,0.842,21,0.08,0.61,30.0,
EURUSD,60,0,0,0.0,both,0.532,413,-11526.5,-5.11,94.8,0.537,251,0.526,162,0.23,0.57,8.0,
EURUSD,60,0,0,0.0,long,0.582,201,-5090.7,-3.16,43.7,0.58,118,0.583,83,0.32,0.34,25.0,
EURUSD,60,0,20,0.3,both,0.749,166,-2651.7,-1.82,26.8,0.812,98,0.67,68,0.26,0.42,50.0,
EURUSD,60,0,20,0.3,long,0.904,85,-531.7,-0.59,13.9,1.096,48,0.708,37,0.16,0.47,33.0,
