run,rsi_buy_max,rsi_sell_min,bw_ratio,bw_lookback,sl_atr_mult,rr,PF,WR,N,MaxDD,avg_win,avg_loss,delta_pf,verdict
281,60,35,1.5,20,3.0,1.5,1.03,50.0,2,84.3,86.8,84.3,-0.615,REJECT
282,60,35,1.5,20,3.0,2.0,1.373,50.0,2,84.3,115.8,84.3,-0.272,REJECT
283,60,35,1.5,30,2.0,1.5,0.0,0.0,1,38.6,0.0,38.6,-1.645,REJECT
284,60,35,1.5,30,2.0,2.0,0.0,0.0,1,38.6,0.0,38.6,-1.645,REJECT
285,60,35,1.5,30,2.5,1.5,0.0,0.0,1,48.2,0.0,48.2,-1.645,REJECT
286,60,35,1.5,30,2.5,2.0,0.0,0.0,1,48.2,0.0,48.2,-1.645,REJECT
287,60,35,1.5,30,3.0,1.5,99.0,100.0,1,0.0,86.8,0.0,97.355,REJECT
288,60,35,1.5,30,3.0,2.0,99.0,100.0,1,0.0,115.8,0.0,97.355,REJECT
289,60,40,0.8,10,2.0,1.5,1.107,41.7,24,301.7,83.8,54.1,-0.538,REJECT
290,60,40,0.8,10,2.0,2.0,1.476,41.7,24,234.4,111.8,54.1,-0.169,REJECT
291,60,40,0.8,10,2.5,1.5,1.378,45.8,24,287.2,107.5,66.0,-0.267,REJECT
292,60,40,0.8,10,2.5,2.0,1.527,41.7,24,286.6,142.5,66.6,-0.118,REJECT
293,60,40,0.8,10,3.0,1.5,1.759,52.2,23,343.9,125.8,78.0,0.114,REJECT
294,60,40,0.8,10,3.0,2.0,2.345,52.2,23,343.9,167.8,78.0,0.7,REJECT
295,60,40,0.8,20,2.0,1.5,1.021,41.2,17,294.6,85.6,58.7,-0.624,REJECT
296,60,40,0.8,20,2.0,2.0,1.362,41.2,17,223.3,114.2,58.7,-0.283,REJECT
297,60,40,0.8,20,2.5,1.5,1.371,47.1,17,215.5,110.4,71.6,-0.274,REJECT
298,60,40,0.8,20,2.5,2.0,1.426,41.2,17,238.6,146.6,72.0,-0.219,REJECT
299,60,40,0.8,20,3.0,1.5,1.91,56.2,16,286.3,127.9,86.1,0.265,REJECT
300,60,40,0.8,20,3.0,2.0,2.547,56.2,16,286.3,170.6,86.1,0.902,REJECT
301,60,40,0.8,30,2.0,1.5,0.933,37.5,16,245.3,83.6,53.8,-0.712,REJECT
302,60,40,0.8,30,2.0,2.0,1.243,37.5,16,181.0,111.4,53.8,-0.402,REJECT
303,60,40,0.8,30,2.5,1.5,0.933,37.5,16,306.6,104.4,67.2,-0.712,REJECT
304,60,40,0.8,30,2.5,2.0,0.916,31.2,16,285.2,136.9,68.0,-0.729,REJECT
305,60,40,0.8,30,3.0,1.5,1.326,46.7,15,286.3,120.5,79.5,-0.319,REJECT
306,60,40,0.8,30,3.0,2.0,1.769,46.7,15,286.3,160.7,79.5,0.124,REJECT
307,60,40,1.0,10,2.0,1.5,1.125,40.0,15,314.9,88.0,52.1,-0.52,REJECT
