time,dir,pnl,reason,entry,hold_h,pair
2023-07-28 00:00:00,short,-1.042214285714275,SL,139.05700000000002,4.0,USDJPY
2023-08-30 12:00:00,long,-0.5981071428571545,SL,146.404,4.0,USDJPY
2023-09-03 20:00:00,long,-0.15699999999999137,Tmax,146.213,52.0,USDJPY
2023-09-13 20:00:00,long,0.17999999999999772,Tmax,147.141,24.0,USDJPY
2023-10-01 20:00:00,long,0.2669999999999868,Tmax,149.251,56.0,USDJPY
2023-10-08 20:00:00,long,-0.2009999999999741,Tmax,149.34199999999998,48.0,USDJPY
2023-10-11 00:00:00,long,-0.49064285714286826,SL,148.969,16.0,USDJPY
2023-10-12 12:00:00,long,0.8630000000000189,Tmax,148.843,24.0,USDJPY
2023-10-25 16:00:00,long,0.19599999999998885,Tmax,149.851,24.0,USDJPY
2023-10-31 12:00:00,long,1.4214285714285773,TP,149.904,8.0,USDJPY
2023-11-16 12:00:00,long,-0.6761071428571575,SL,151.38799999999998,16.0,USDJPY
2023-12-03 20:00:00,short,1.6140000000000236,Tmax,147.98600000000002,68.0,USDJPY
2023-12-07 08:00:00,short,1.749553571428576,TP,147.209,16.0,USDJPY
2024-01-31 12:00:00,long,-0.5472142857142706,SL,147.74099999999999,8.0,USDJPY
2024-02-04 20:00:00,long,0.21400000000001795,Tmax,148.28799999999998,52.0,USDJPY
2024-02-08 12:00:00,long,1.2395535714285617,TP,148.09199999999998,24.0,USDJPY
2024-02-18 20:00:00,long,-0.18300000000000183,Tmax,150.321,64.0,USDJPY
2024-03-03 20:00:00,long,-0.3879999999999859,Tmax,150.50799999999998,60.0,USDJPY
2024-03-05 08:00:00,long,0.09000000000002274,Tmax,150.31699999999998,24.0,USDJPY
2024-05-07 04:00:00,long,-0.4579999999999791,SMAbreak,154.56099999999998,0.0,USDJPY
2024-05-08 12:00:00,long,0.87900000000001,Tmax,154.535,24.0,USDJPY
2024-05-19 20:00:00,long,-0.049999999999992044,Tmax,155.803,64.0,USDJPY
2024-06-13 20:00:00,long,0.2620000000000198,Tmax,156.85,24.0,USDJPY
2024-07-10 12:00:00,long,0.5990000000000089,Tmax,161.128,24.0,USDJPY
2024-07-23 08:00:00,short,0.636000000000015,Tmax,156.799,24.0,USDJPY
2024-09-04 20:00:00,short,2.0042857142857176,TP,145.619,24.0,USDJPY
2024-11-07 04:00:00,long,0.046000000000011594,Tmax,153.944,24.0,USDJPY
2024-11-12 04:00:00,long,0.3540000000000043,Tmax,153.457,24.0,USDJPY
2025-01-29 12:00:00,short,0.4070000000000016,Tmax,155.424,24.0,USDJPY
2025-02-05 12:00:00,short,2.235178571428588,TP,154.661,20.0,USDJPY
2025-02-16 20:00:00,short,0.8100000000000216,Tmax,152.82600000000002,64.0,USDJPY
2025-04-09 12:00:00,short,1.7880000000000018,Tmax,146.894,24.0,USDJPY
2025-04-11 08:00:00,short,4.185982142857141,TP,146.26000000000002,24.0,USDJPY
2025-05-06 12:00:00,short,1.0590000000000168,Tmax,143.84,24.0,USDJPY
2025-07-03 04:00:00,short,-0.12000000000001364,slope_exit,143.749,12.0,USDJPY
2025-07-27 20:00:00,long,0.5470000000000164,Tmax,147.225,64.0,USDJPY
2025-09-11 12:00:00,long,-0.6042142857142869,SL,147.786,4.0,USDJPY
2025-10-07 00:00:00,long,0.7609999999999866,Tmax,149.59,24.0,USDJPY
2025-10-22 00:00:00,long,0.9550000000000034,Tmax,150.831,24.0,USDJPY
2025-12-09 08:00:00,long,0.8140000000000123,Tmax,155.362,24.0,USDJPY
2025-12-11 12:00:00,long,-0.6170714285714303,SL,156.042,4.0,USDJPY
2026-01-15 20:00:00,long,0.06699999999999819,Tmax,158.512,24.0,USDJPY
2026-01-20 08:00:00,long,-0.5506428571428705,SL,158.381,0.0,USDJPY
2026-01-21 20:00:00,long,0.14900000000002023,Tmax,158.29899999999998,24.0,USDJPY
2026-03-06 08:00:00,long,0.676000000000007,Tmax,157.266,24.0,USDJPY
