gate_th,time_max,trail,lot,cd,seg,N,WR,PF,net_R,avg_R,Sharpe,maxDD_pct,ddwin_R,gate_opens
-20%,24,2.0,0.1,0,OOS,17,11.8,0.157,-8.69,-0.511,-6.576,8.45,0.0,1
-20%,24,2.0,0.1,12,IS,35,25.7,0.798,-3.03,-0.087,-0.478,4.55,2.87,13
-20%,24,2.0,0.1,12,OOS,7,14.3,0.243,-2.97,-0.424,-4.654,3.93,0.0,1
-20%,24,2.0,0.2,0,IS,64,32.8,0.833,-3.91,-0.061,-0.528,6.86,3.3,13
-20%,24,2.0,0.2,0,OOS,17,11.8,0.157,-8.69,-0.511,-6.576,8.45,0.0,1
-20%,24,2.0,0.2,12,IS,35,25.7,0.798,-3.03,-0.087,-0.478,4.55,2.87,13
-20%,24,2.0,0.2,12,OOS,7,14.3,0.243,-2.97,-0.424,-4.654,3.93,0.0,1
-20%,24,3.0,0.1,0,IS,45,33.3,0.689,-4.22,-0.094,-0.85,4.82,1.7,13
-20%,24,3.0,0.1,0,OOS,8,25.0,0.097,-3.53,-0.441,-4.956,3.1,0.0,1
-20%,24,3.0,0.1,12,IS,30,16.7,0.357,-8.04,-0.268,-1.906,8.03,-1.99,13
-20%,24,3.0,0.1,12,OOS,5,20.0,0.21,-1.46,-0.293,-3.738,1.85,0.0,1
-20%,24,3.0,0.2,0,IS,45,33.3,0.689,-4.22,-0.094,-0.85,4.82,1.7,13
-20%,24,3.0,0.2,0,OOS,8,25.0,0.097,-3.53,-0.441,-4.956,3.1,0.0,1
-20%,24,3.0,0.2,12,IS,30,16.7,0.357,-8.04,-0.268,-1.906,8.03,-1.99,13
-20%,24,3.0,0.2,12,OOS,5,20.0,0.21,-1.46,-0.293,-3.738,1.85,0.0,1
-20%,48,1.5,0.1,0,IS,107,29.9,0.536,-22.53,-0.211,-2.519,23.9,-2.49,13
-20%,48,1.5,0.1,0,OOS,22,18.2,0.152,-11.79,-0.536,-6.516,12.05,0.0,1
-20%,48,1.5,0.1,12,IS,38,31.6,0.841,-2.66,-0.07,-0.411,5.46,1.12,13
-20%,48,1.5,0.1,12,OOS,7,28.6,0.491,-1.72,-0.245,-2.196,3.34,0.0,1
-20%,48,1.5,0.2,0,IS,107,29.9,0.536,-22.53,-0.211,-2.519,23.9,-2.49,13
-20%,48,1.5,0.2,0,OOS,22,18.2,0.152,-11.79,-0.536,-6.516,12.05,0.0,1
-20%,48,1.5,0.2,12,IS,38,31.6,0.841,-2.66,-0.07,-0.411,5.46,1.12,13
-20%,48,1.5,0.2,12,OOS,7,28.6,0.491,-1.72,-0.245,-2.196,3.34,0.0,1
-20%,48,2.0,0.1,0,IS,61,32.8,0.802,-4.44,-0.073,-0.608,7.02,3.14,13
-20%,48,2.0,0.1,0,OOS,17,11.8,0.157,-8.69,-0.511,-6.576,8.45,0.0,1
-20%,48,2.0,0.1,12,IS,34,26.5,0.79,-2.89,-0.085,-0.507,4.75,2.04,13
-20%,48,2.0,0.1,12,OOS,7,14.3,0.243,-2.97,-0.424,-4.654,3.93,0.0,1
-20%,48,2.0,0.2,0,IS,61,32.8,0.802,-4.44,-0.073,-0.608,7.02,3.14,13
-20%,48,2.0,0.2,0,OOS,17,11.8,0.157,-8.69,-0.511,-6.576,8.45,0.0,1
-20%,48,2.0,0.2,12,IS,34,26.5,0.79,-2.89,-0.085,-0.507,4.75,2.04,13
-20%,48,2.0,0.2,12,OOS,7,14.3,0.243,-2.97,-0.424,-4.654,3.93,0.0,1
-20%,48,3.0,0.1,0,IS,40,32.5,0.685,-3.81,-0.095,-0.834,4.82,1.47,13
-20%,48,3.0,0.1,0,OOS,8,25.0,0.097,-3.53,-0.441,-4.956,3.1,0.0,1
-20%,48,3.0,0.1,12,IS,27,22.2,0.455,-5.84,-0.216,-1.587,7.11,-2.27,13
-20%,48,3.0,0.1,12,OOS,5,20.0,0.21,-1.46,-0.293,-3.738,1.85,0.0,1
-20%,48,3.0,0.2,0,IS,40,32.5,0.685,-3.81,-0.095,-0.834,4.82,1.47,13
-20%,48,3.0,0.2,0,OOS,8,25.0,0.097,-3.53,-0.441,-4.956,3.1,0.0,1
-20%,48,3.0,0.2,12,IS,27,22.2,0.455,-5.84,-0.216,-1.587,7.11,-2.27,13
-20%,48,3.0,0.2,12,OOS,5,20.0,0.21,-1.46,-0.293,-3.738,1.85,0.0,1
-20%,72,1.5,0.1,0,IS,107,29.9,0.536,-22.53,-0.211,-2.519,23.9,-2.49,13
-20%,72,1.5,0.1,0,OOS,22,18.2,0.152,-11.79,-0.536,-6.516,12.05,0.0,1
-20%,72,1.5,0.1,12,IS,38,31.6,0.841,-2.66,-0.07,-0.411,5.46,1.12,13
-20%,72,1.5,0.1,12,OOS,7,28.6,0.491,-1.72,-0.245,-2.196,3.34,0.0,1
-20%,72,1.5,0.2,0,IS,107,29.9,0.536,-22.53,-0.211,-2.519,23.9,-2.49,13
-20%,72,1.5,0.2,0,OOS,22,18.2,0.152,-11.79,-0.536,-6.516,12.05,0.0,1
-20%,72,1.5,0.2,12,IS,38,31.6,0.841,-2.66,-0.07,-0.411,5.46,1.12,13
-20%,72,1.5,0.2,12,OOS,7,28.6,0.491,-1.72,-0.245,-2.196,3.34,0.0,1
-20%,72,2.0,0.1,0,IS,61,32.8,0.802,-4.44,-0.073,-0.608,7.02,3.14,13
-20%,72,2.0,0.1,0,OOS,17,11.8,0.157,-8.69,-0.511,-6.576,8.45,0.0,1
-20%,72,2.0,0.1,12,IS,34,26.5,0.79,-2.89,-0.085,-0.507,4.75,2.04,13
-20%,72,2.0,0.1,12,OOS,7,14.3,0.243,-2.97,-0.424,-4.654,3.93,0.0,1
-20%,72,2.0,0.2,0,IS,61,32.8,0.802,-4.44,-0.073,-0.608,7.02,3.14,13
-20%,72,2.0,0.2,0,OOS,17,11.8,0.157,-8.69,-0.511,-6.576,8.45,0.0,1
-20%,72,2.0,0.2,12,IS,34,26.5,0.79,-2.89,-0.085,-0.507,4.75,2.04,13
-20%,72,2.0,0.2,12,OOS,7,14.3,0.243,-2.97,-0.424,-4.654,3.93,0.0,1
-20%,72,3.0,0.1,0,IS,40,32.5,0.685,-3.81,-0.095,-0.834,4.82,1.47,13
-20%,72,3.0,0.1,0,OOS,8,25.0,0.097,-3.53,-0.441,-4.956,3.1,0.0,1
-20%,72,3.0,0.1,12,IS,27,22.2,0.423,-6.12,-0.227,-1.751,7.16,-2.32,13
-20%,72,3.0,0.1,12,OOS,5,20.0,0.21,-1.46,-0.293,-3.738,1.85,0.0,1
-20%,72,3.0,0.2,0,IS,40,32.5,0.685,-3.81,-0.095,-0.834,4.82,1.47,13
-20%,72,3.0,0.2,0,OOS,8,25.0,0.097,-3.53,-0.441,-4.956,3.1,0.0,1
-20%,72,3.0,0.2,12,IS,27,22.2,0.423,-6.12,-0.227,-1.751,7.16,-2.32,13
-20%,72,3.0,0.2,12,OOS,5,20.0,0.21,-1.46,-0.293,-3.738,1.85,0.0,1
-25%,24,1.5,0.1,0,IS,86,31.4,0.607,-15.51,-0.18,-3.113,16.13,0.05,1
-25%,24,1.5,0.1,0,OOS,12,33.3,0.297,-5.35,-0.446,-5.263,5.86,0.0,1
-25%,24,1.5,0.1,12,IS,29,34.5,1.047,0.61,0.021,0.16,5.46,2.8,1
-25%,24,1.5,0.1,12,OOS,4,25.0,0.715,-0.65,-0.162,-0.946,2.28,0.0,1
-25%,24,1.5,0.2,0,IS,86,31.4,0.607,-15.51,-0.18,-3.113,16.13,0.05,1
