corr_window,z_entry,z_exit,hold_period,tp_mult,sl_mult,n,wins,losses,win_rate,pf,avg_hold,max_dd,gross_profit,gross_loss
120,0.8,0.5,5,2.5,1.5,126,57,69,45.2,0.783,5.5,-0.198812,0.369344,0.471546
120,0.8,0.5,10,2.5,1.5,85,44,41,51.8,0.821,8.3,-0.179934,0.302818,0.369053
120,0.8,0.5,15,2.5,1.5,73,35,38,47.9,0.771,9.8,-0.192701,0.286534,0.371636
120,0.8,0.5,20,2.5,1.5,67,32,35,47.8,0.784,10.6,-0.190084,0.280302,0.357416
120,1.0,0.0,5,2.5,1.5,107,45,62,42.1,0.786,6.0,-0.197306,0.316429,0.402381
120,1.0,0.0,10,2.5,1.5,72,31,41,43.1,0.835,9.8,-0.182313,0.300422,0.359729
120,1.0,0.0,15,2.5,1.5,60,26,34,43.3,0.836,12.5,-0.17249,0.278921,0.33347
120,1.0,0.0,20,2.5,1.5,53,21,32,39.6,0.915,14.5,-0.187424,0.297825,0.3255
120,1.0,0.3,5,2.5,1.5,107,45,62,42.1,0.781,6.0,-0.197306,0.314213,0.402381
120,1.0,0.3,10,2.5,1.5,72,31,41,43.1,0.778,9.4,-0.182313,0.279818,0.359729
120,1.0,0.3,15,2.5,1.5,60,27,33,45.0,0.747,11.6,-0.17249,0.246376,0.329667
120,1.0,0.3,20,2.5,1.5,54,22,32,40.7,0.795,13.0,-0.187424,0.258731,0.325479
120,1.0,0.5,5,2.5,1.5,107,47,60,43.9,0.803,5.7,-0.192416,0.320487,0.398905
120,1.0,0.5,10,2.5,1.5,74,35,39,47.3,0.805,8.6,-0.173568,0.278349,0.345939
120,1.0,0.5,15,2.5,1.5,65,31,34,47.7,0.796,10.0,-0.177661,0.270957,0.340325
120,1.0,0.5,20,2.5,1.5,57,25,32,43.9,0.761,11.4,-0.190084,0.247562,0.325479
120,1.2,0.0,5,2.5,1.5,93,41,52,44.1,0.908,5.9,-0.156808,0.304508,0.335451
120,1.2,0.0,10,2.5,1.5,60,30,30,50.0,0.967,10.0,-0.158601,0.278475,0.288055
120,1.2,0.0,15,2.5,1.5,51,23,28,45.1,0.942,13.1,-0.156055,0.261824,0.277935
120,1.2,0.0,20,2.5,1.5,49,19,30,38.8,0.989,14.2,-0.164603,0.27994,0.283121
120,1.2,0.3,5,2.5,1.5,93,41,52,44.1,0.915,5.9,-0.156808,0.306948,0.335451
120,1.2,0.3,10,2.5,1.5,60,30,30,50.0,0.918,9.7,-0.158601,0.264325,0.288055
120,1.2,0.3,15,2.5,1.5,51,23,28,45.1,0.891,12.3,-0.156055,0.247577,0.277935
120,1.2,0.3,20,2.5,1.5,49,20,29,40.8,0.922,12.9,-0.164603,0.258906,0.280898
120,1.2,0.5,5,2.5,1.5,93,42,51,45.2,0.935,5.8,-0.156808,0.31087,0.332486
120,1.2,0.5,10,2.5,1.5,61,31,30,50.8,0.883,9.1,-0.161261,0.254318,0.288055
120,1.2,0.5,15,2.5,1.5,53,25,28,47.2,0.905,11.0,-0.151451,0.251465,0.277861
120,1.2,0.5,20,2.5,1.5,50,22,28,44.0,0.871,11.7,-0.167263,0.244583,0.280727
120,1.5,0.0,5,2.5,1.5,69,31,38,44.9,0.864,5.9,-0.112287,0.211782,0.245053
120,1.5,0.0,10,2.5,1.5,47,22,25,46.8,0.857,9.2,-0.115768,0.201325,0.234793
120,1.5,0.0,15,2.5,1.5,40,15,25,37.5,0.754,11.4,-0.139917,0.188084,0.249392
120,1.5,0.0,20,2.5,1.5,39,14,25,35.9,0.811,12.7,-0.147053,0.204349,0.252029
120,1.5,0.3,5,2.5,1.5,69,31,38,44.9,0.874,5.8,-0.112287,0.214087,0.245053
120,1.5,0.3,10,2.5,1.5,47,22,25,46.8,0.867,9.1,-0.115768,0.20363,0.234793
120,1.5,0.3,15,2.5,1.5,40,15,25,37.5,0.749,11.1,-0.139917,0.186686,0.249392
120,1.5,0.3,20,2.5,1.5,39,14,25,35.9,0.773,11.9,-0.147053,0.194717,0.252029
120,1.5,0.5,5,2.5,1.5,69,31,38,44.9,0.869,5.8,-0.112287,0.212932,0.245053
120,1.5,0.5,10,2.5,1.5,47,22,25,46.8,0.859,8.9,-0.113538,0.201694,0.234793
120,1.5,0.5,15,2.5,1.5,40,15,25,37.5,0.721,10.9,-0.142577,0.17986,0.249392
120,1.5,0.5,20,2.5,1.5,39,14,25,35.9,0.74,11.7,-0.149713,0.186421,0.252029
120,2.0,0.0,5,2.5,1.5,32,17,15,53.1,1.342,6.1,-0.055309,0.125231,0.093333
120,2.0,0.0,10,2.5,1.5,23,12,11,52.2,1.225,10.5,-0.049635,0.106405,0.08688
120,2.0,0.0,15,2.5,1.5,21,10,11,47.6,1.07,13.0,-0.0647,0.127988,0.119616
120,2.0,0.0,20,2.5,1.5,21,9,12,42.9,1.097,14.2,-0.0647,0.137289,0.125134
