pair,direction,entry_time,exit_time,entry,exit,sl,tp,D,pnl_price,pnl_net,result,bars_held
GBPJPY,SHORT,2022-09-21 06:00:00,2022-09-22 07:00:00,162.731,164.03133,164.03133,161.43067,1.702,-1.30033,-1.32033,SL,25
GBPJPY,SHORT,2022-10-11 19:00:00,2022-10-12 09:00:00,160.292,162.09886,162.09886,158.48514,2.365,-1.80686,-1.82686,SL,14
GBPJPY,SHORT,2022-11-10 21:00:00,2022-11-22 00:00:00,165.08,168.13753,168.13753,162.02247,4.002,-3.05753,-3.07753,SL,171
GBPJPY,SHORT,2022-12-01 01:00:00,2022-12-01 14:00:00,165.442,166.93027,166.93027,163.95373,1.948,-1.48827,-1.50827,SL,13
GBPJPY,LONG,2023-02-21 09:00:00,2023-02-21 13:00:00,162.172,163.4792,160.8648,163.4792,1.711,1.3072,1.2872,TP,4
GBPJPY,LONG,2023-04-04 08:00:00,2023-04-05 08:00:00,165.461,163.90091,163.90091,167.02109,2.042,-1.56009,-1.58009,SL,24
GBPJPY,LONG,2023-04-18 07:00:00,2023-04-19 08:00:00,166.838,167.94045,165.73555,167.94045,1.443,1.10245,1.08245,TP,25
GBPJPY,SHORT,2023-04-27 09:00:00,2023-04-27 13:00:00,166.573,166.91604,166.91604,166.22996,0.449,-0.34304,-0.36304,SL,4
GBPJPY,LONG,2023-05-22 12:00:00,2023-05-23 08:00:00,172.499,171.50351,171.50351,173.49449,1.303,-0.99549,-1.01549,SL,20
GBPJPY,LONG,2023-08-21 16:00:00,2023-08-23 07:00:00,186.465,185.00118,185.00118,187.92882,1.916,-1.46382,-1.48382,SL,39
GBPJPY,SHORT,2023-09-14 14:00:00,2023-09-21 11:00:00,182.672,181.3648,183.9792,181.3648,1.711,1.3072,1.2872,TP,117
GBPJPY,SHORT,2023-10-18 03:00:00,2023-10-18 04:00:00,182.074,182.25125,182.25125,181.89675,0.232,-0.17725,-0.19725,SL,1
GBPJPY,SHORT,2023-12-14 03:00:00,2023-12-19 08:00:00,178.527,182.95285,182.95285,174.10115,5.793,-4.42585,-4.44585,SL,77
GBPJPY,LONG,2024-01-10 08:00:00,2024-01-10 15:00:00,184.298,185.4822,183.1138,185.4822,1.55,1.1842,1.1642,TP,7
GBPJPY,SHORT,2024-01-29 14:00:00,2024-01-29 15:00:00,187.581,187.24866,187.91334,187.24866,0.435,0.33234,0.31234,TP,1
