trades,winrate,pf,total_pips,max_dd_pips,f1,f3,f4,f5,f6b,f6s,score
817,0.423500611995104,1.1019108280252436,480,-355,,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50.0,45.0,55.0,13.338639073126563
820,0.42317073170731706,1.1004228329807397,475,-355,,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,45.0,55.0,13.334665985724316
792,0.4255050505050505,1.1109890109887668,505,-335,0.004,2.1,None,30.0,,,13.303841843837912
792,0.4255050505050505,1.1109890109887668,505,-335,0.004,2.1,None,50.0,,,13.303841843837912
792,0.4255050505050505,1.1109890109887668,505,-335,0.004,2.1,None,40.0,,,13.303841843837912
792,0.4255050505050505,1.1109890109887668,505,-335,0.004,2.1,None,,,,13.303841843837912
778,0.4267352185089974,1.1165919282508705,520,-265,,2.3,None,30.0,45.0,55.0,13.290544357673554
767,0.4276401564537158,1.1207289293847105,530,-290,,2.3,None,,40.0,60.0,13.273233798964014
779,0.42618741976893454,1.1140939597312942,510,-265,,2.3,None,30.0,,,13.252297430620466
742,0.4299191374663073,1.1312056737585976,555,-310,,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",40.0,40.0,60.0,13.247389485349828
762,0.42782152230971127,1.1215596330272657,530,-290,,2.3,None,50.0,40.0,60.0,13.24532088950816
744,0.42876344086021506,1.1258823529409114,535,-330,,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50.0,40.0,60.0,13.167315063250957
747,0.428380187416332,1.1241217798592213,530,-330,,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,40.0,60.0,13.161428832484377
863,0.4171494785631518,1.0735586481111186,370,-345,,2.1,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",,45.0,55.0,13.1559700969724
863,0.4171494785631518,1.0735586481111186,370,-345,,2.1,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",50.0,45.0,55.0,13.1559700969724
825,0.4206060606060606,1.0889121338909855,425,-345,,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",40.0,,,13.155135863576506
899,0.41379310344827586,1.0588235294115638,310,-325,,2.1,None,30.0,35.0,65.0,13.136711966415474
760,0.4263157894736842,1.114678899082313,500,-290,,2.3,None,40.0,40.0,60.0,13.10050369808448
827,0.4195888754534462,1.084374999999774,405,-365,,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50.0,,,13.084472431362366
